"State_Name","District","Sub-District","Financial_Year","Month","Indicator_Code","Indicator_Name","Code_And_Section","Reported_Value_for_Public_Facility","Reported_Value_for_Private_Facility","Reported_Value_for_Rural","Reported_Value_for_Urban"
"Assam","Cachar","Jalalpur BPHC","2019-2020","January","6.4","Number of mothers provided 360 Calcium tablets after delivery","M6 [Post Natal Care (PNC)]","192","NA","192","NA"
"Assam","Cachar","Jalalpur BPHC","2019-2020","January","9.1.4","Child immunisation - DPT2","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Assam","Cachar","Jalalpur BPHC","2019-2020","January","16.3.3","Number of Infant Deaths (1 -12 months) due to Fever related","M16 [Details of deaths reported with probable causes:]","0","NA","0","NA"
"Assam","Cachar","Jalalpur BPHC","2019-2020","January","10.13","Children admitted with upper respiratory infections","M10 [Number of cases of Childhood Diseases (0-5 years)]","0","NA","0","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","9.1.15","Child immunisation - Hepatitis-B2","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","9.3.2","Child immunisation - Measles-1st dose","M9 [CHILD IMMUNISATION]","0","0","0","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","9.4.4","Child immunisation - OPV Booster","M9 [CHILD IMMUNISATION]","320","2","322","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","14.14.1","Number of children admitted in NRC","M14 [Patient Services]","0","0","0","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","16.7.14","Number of Adolscent / Adult deaths due to Causes not known","M16 [Details of deaths reported with probable causes:]","15","0","15","NA"
"Assam","Cachar","Silchar Urban","2019-2020","January","1.2.2","Number of PW given TT2","M1 [Ante Natal Care (ANC)]","126","105","6","225"
"Assam","Cachar","Silchar Urban","2019-2020","January","6.3","Number of mothers provided full course of 180 IFA tablets after delivery","M6 [Post Natal Care (PNC)]","643","0","643","0"
"Assam","Cachar","Silchar Urban","2019-2020","January","14.3.1.a","Inpatient (Male)- Children<18yrs","M14 [Patient Services]","428","22","428","22"
"Assam","Cachar","Sonai BPHC","2019-2020","January","9.1.20","Child immunisation - Rotavirus 2","M9 [CHILD IMMUNISATION]","605","0","605","NA"
"Assam","Cachar","Sonai BPHC","2019-2020","January","10.2","Childhood Diseases - Asthma","M10 [Number of cases of Childhood Diseases (0-5 years)]","0","0","0","NA"
"Assam","Cachar","Sonai BPHC","2019-2020","January","15.3.4.b","Number of Male STI/RTI attendees found sero Positive for syphilis","M15 [Laboratory Testing]","0","0","0","NA"
"Assam","Cachar","Sonai BPHC","2019-2020","January","16.4.5","Number of Child Deaths (1 -5 years) due to Others","M16 [Details of deaths reported with probable causes:]","0","0","0","NA"
"Assam","Cachar","Udarbond BPHC","2019-2020","January","9.5.2","Children more than 5 years received DPT5 (2nd Booster)","M9 [CHILD IMMUNISATION]","217","18","235","NA"
"Assam","Cachar","Udarbond BPHC","2019-2020","January","14.8.4","Operation minor (No or local anaesthesia)","M14 [Patient Services]","14","0","14","NA"
"Assam","Cachar","Udarbond BPHC","2019-2020","January","16.3.1","Number of Infant Deaths (1 -12 months) due to Pneumonia","M16 [Details of deaths reported with probable causes:]","0","0","0","NA"
"Assam","Cachar","Udarbond BPHC","2019-2020","January","15.3.4.d","Number of Female (Non ANC) STI/RTI attendees found sero Positive for syphilis","M15 [Laboratory Testing]","0","0","0","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","2.1.1.a","Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM)","M2 [Deliveries]","19","0","19","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","14.1.9","Outpatient - Oncology","M14 [Patient Services]","NA","NA","NA","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","14.9.1","Inpatient Deaths - Male","M14 [Patient Services]","0","0","0","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","15.5.1","Radiology - X-ray","M15 [Laboratory Testing]","NA","NA","NA","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","16.5.2","Number of Maternal Deaths due to High fever","M16 [Details of deaths reported with probable causes:]","0","0","0","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","16.8.6","Number of Deaths due to Japanese  Encephalitis (JE)","M16 [Details of deaths reported with probable causes:]","0","0","0","NA"
"Assam","Cachar","Borkhola BPHC","2019-2020","January","9.6.1","Number of cases of AEFI - Abscess","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Assam","Cachar","Borkhola BPHC","2019-2020","January","14.10","In-Patient Head Count at midnight","M14 [Patient Services]","342","6","348","NA"
"Assam","Cachar","Borkhola BPHC","2019-2020","January","14.12.4","Outborn - Female","M14 [Patient Services]","NA","NA","NA","NA"
"Assam","Cachar","Borkhola BPHC","2019-2020","January","15.1","Number of Lab Tests done","M15 [Laboratory Testing]","800","26","826","NA"
"Assam","Cachar","Dholai BPHC","2019-2020","January","1.2.8","Number of PW given ANC Corticosteroids in Pre Term Labour","M1 [Ante Natal Care (ANC)]","23","NA","23","NA"
"Assam","Cachar","Dholai BPHC","2019-2020","January","4.1.2","Number of Pre term newborns ( < 37 weeks of pregnancy)","M4 [Pregnancy outcome & details of new-born]","26","NA","26","NA"
"Assam","Cachar","Dholai BPHC","2019-2020","January","9.8.3","Child immunisation - Vitamin A Dose - 9","M9 [CHILD IMMUNISATION]","335","0","335","NA"
"Assam","Cachar","Dholai BPHC","2019-2020","January","14.4.4","Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections","M14 [Patient Services]","NA","NA","NA","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","6.4","Number of mothers provided 360 Calcium tablets after delivery","M6 [Post Natal Care (PNC)]","273","130","403","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","10.9","Childhood Diseases - Measles","M10 [Number of cases of Childhood Diseases (0-5 years)]","0","0","0","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","14.17","Stock out rate of essential Drugs","M14 [Patient Services]","NA","NA","NA","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","14.19","Total number of blood units issued in year","M14 [Patient Services]","NA","NA","NA","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","16.7.13","Number of Adolscent / Adult deaths due to Known Chronic Disease","M16 [Details of deaths reported with probable causes:]","4","0","4","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","8.14","Number of Centchroman (weekly) pill strips distributed","M8 [Family Planning]","15","0","15","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","10.13","Children admitted with upper respiratory infections","M10 [Number of cases of Childhood Diseases (0-5 years)]","0","9","9","NA"
"Assam","Cachar","Sonai BPHC","2019-2020","January","1.6.2.b","Number of pregnant women tested found sero positive for Syphilis","M1 [Ante Natal Care (ANC)]","0","0","0","NA"
"Assam","Cachar","Udarbond BPHC","2019-2020","January","4.3.2.a","Post Abortion/ MTP Complications Identified","M4 [Pregnancy outcome & details of new-born]","0","0","0","NA"
"Assam","Cachar","Udarbond BPHC","2019-2020","January","7.2.2","RTI/STI for which treatment initiated -Female","M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases]","0","0","0","NA"
"Assam","Cachar","Udarbond BPHC","2019-2020","January","14.1.4","Outpatient - Acute Heart Diseases","M14 [Patient Services]","10","0","10","NA"
"Assam","Cachar","Udarbond BPHC","2019-2020","January","14.4.1","Inpatient - Malaria","M14 [Patient Services]","0","0","0","NA"
"Assam","Cachar","Udarbond BPHC","2019-2020","January","14.8.2","Out of Operation major, Gynecology- Hysterectomy surgeries","M14 [Patient Services]","0","0","0","NA"
"Assam","Cachar","Udarbond BPHC","2019-2020","January","16.4.5","Number of Child Deaths (1 -5 years) due to Others","M16 [Details of deaths reported with probable causes:]","0","0","0","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","1.1.1","Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)","M1 [Ante Natal Care (ANC)]","170","0","170","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","8.2.1","Number of Laparoscopic sterilizations (excluding post abortion) conducted","M8 [Family Planning]","0","0","0","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","9.3.1","Child immunisation - Measles & Rubella (MR)- 1st Dose","M9 [CHILD IMMUNISATION]","0","0","0","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","14.6.3","Emergency - Obstetrics complications","M14 [Patient Services]","NA","NA","NA","NA"
"Assam","Cachar","Borkhola BPHC","2019-2020","January","8.9","Injectable Contraceptive-Antara Program- Second Dose","M8 [Family Planning]","2","NA","2","NA"
"Assam","Cachar","Borkhola BPHC","2019-2020","January","14.12.2","Special Newborn Care Unit (SNCU Admissions) - Inborn Female","M14 [Patient Services]","NA","NA","NA","NA"
"Assam","Cachar","Borkhola BPHC","2019-2020","January","15.3.2.b","Female Non ANC HIV - Number Positive","M15 [Laboratory Testing]","NA","NA","NA","NA"
"Assam","Cachar","Borkhola BPHC","2019-2020","January","16.3.1","Number of Infant Deaths (1 -12 months) due to Pneumonia","M16 [Details of deaths reported with probable causes:]","NA","NA","NA","NA"
"Assam","Cachar","Borkhola BPHC","2019-2020","January","16.5.6","Number of Maternal Deaths due to Other Causes (including causes not known)","M16 [Details of deaths reported with probable causes:]","NA","NA","NA","NA"
"Assam","Cachar","Dholai BPHC","2019-2020","January","9.2.1","Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose","M9 [CHILD IMMUNISATION]","539","8","547","NA"
"Assam","Cachar","Dholai BPHC","2019-2020","January","14.8.6","Number of blood units issued","M14 [Patient Services]","NA","NA","NA","NA"
"Assam","Cachar","Dholai BPHC","2019-2020","January","15.3.1.a","Male HIV - Number Tested","M15 [Laboratory Testing]","3","0","3","NA"
"Assam","Cachar","Dholai BPHC","2019-2020","January","15.5.2","Radiology - Ultrasonography (USG)","M15 [Laboratory Testing]","NA","NA","NA","NA"
"Assam","Cachar","Dholai BPHC","2019-2020","January","16.3.2","Number of Infant Deaths (1 -12 months) due to Diarrhoea","M16 [Details of deaths reported with probable causes:]","NA","NA","NA","NA"
"Assam","Cachar","Harinagar BPHC","2019-2020","January","6.2","Women receiving 1st post partum checkup between 48 hours and 14 days","M6 [Post Natal Care (PNC)]","188","28","216","NA"
"Assam","Cachar","Harinagar BPHC","2019-2020","January","7.1.2","New RTI/STI cases identified - Female","M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases]","0","0","0","NA"
"Assam","Cachar","Harinagar BPHC","2019-2020","January","9.1.12","Child immunisation - OPV3","M9 [CHILD IMMUNISATION]","210","7","217","NA"
"Assam","Cachar","Harinagar BPHC","2019-2020","January","14.1.7","Outpatient - Ophthalmic Related","M14 [Patient Services]","32","6","38","NA"
"Assam","Cachar","Harinagar BPHC","2019-2020","January","14.8.3","Major Surgeries excluding Obstetrics, Gynaecology and Opthalmology etc.","M14 [Patient Services]","NA","NA","NA","NA"
"Assam","Cachar","Harinagar BPHC","2019-2020","January","15.5.1","Radiology - X-ray","M15 [Laboratory Testing]","NA","204","204","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","1.2.1","Number of PW given TT1","M1 [Ante Natal Care (ANC)]","182","0","182","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","1.5.3","Number of PW given insulin out of total tested positive for GDM","M1 [Ante Natal Care (ANC)]","0","0","0","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","4.4.3","Number of Newborns breast fed within 1 hour of birth ","M4 [Pregnancy outcome & details of new-born]","169","0","169","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","8.17.2","Complications following female sterilization","M8 [Family Planning]","0","0","0","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","9.4.4","Child immunisation - OPV Booster","M9 [CHILD IMMUNISATION]","259","0","259","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","15.3.4.c","Number of Female (Non ANC)STI/RTI attendees tested for syphilis","M15 [Laboratory Testing]","0","0","0","NA"
"Assam","Cachar","Bikrampur BPHC","2019-2020","January","16.7.4","Number of Adolscent / Adult deaths due to Other Fever Related","M16 [Details of deaths reported with probable causes:]","0","0","0","NA"
"Assam","Cachar","Borkhola BPHC","2019-2020","January","1.6.1.a","Number of PW tested using POC test for Syphilis","M1 [Ante Natal Care (ANC)]","NA","NA","NA","NA"
"Assam","Cachar","Borkhola BPHC","2019-2020","January","9.7.3","Number of Immunisation sessions where ASHAs were present","M9 [CHILD IMMUNISATION]","214","NA","214","NA"
"Assam","Cachar","Borkhola BPHC","2019-2020","January","16.8.4","Number of Deaths due to Dengue","M16 [Details of deaths reported with probable causes:]","NA","NA","NA","NA"
"Assam","Cachar","Borkhola BPHC","2019-2020","January","8.12","Number of Combined Oral Pill cycles distributed","M8 [Family Planning]","979","NA","979","NA"
"Assam","Cachar","Dholai BPHC","2019-2020","January","1.4.4","Number of PW having severe anaemia (Hb<7) treated","M1 [Ante Natal Care (ANC)]","8","NA","8","NA"
"Assam","Cachar","Dholai BPHC","2019-2020","January","8.5","Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions","M8 [Family Planning]","NA","NA","NA","NA"
"Assam","Cachar","Dholai BPHC","2019-2020","January","14.3.1.a","Inpatient (Male)- Children<18yrs","M14 [Patient Services]","1","NA","1","NA"
"Assam","Cachar","Dholai BPHC","2019-2020","January","14.4.3","Inpatient - Typhoid","M14 [Patient Services]","NA","NA","NA","NA"
"Assam","Cachar","Dholai BPHC","2019-2020","January","16.7.2","Number of Adolscent / Adult deaths due to Tuberculosis","M16 [Details of deaths reported with probable causes:]","NA","NA","NA","NA"
"Assam","Cachar","Dholai BPHC","2019-2020","January","8.14","Number of Centchroman (weekly) pill strips distributed","M8 [Family Planning]","NA","NA","NA","NA"
"Assam","Cachar","Harinagar BPHC","2019-2020","January","1.4.2","Number of PW having Hb level<11 (tested cases)(7.1 to 10.9)","M1 [Ante Natal Care (ANC)]","189","7","196","NA"
"Assam","Cachar","Harinagar BPHC","2019-2020","January","8.7","Number of complications following IUCD Insertion","M8 [Family Planning]","0","0","0","NA"
"Assam","Cachar","Harinagar BPHC","2019-2020","January","9.1.14","Child immunisation - Hepatitis-B1","M9 [CHILD IMMUNISATION]","NA","NA","NA","NA"
"Assam","Cachar","Harinagar BPHC","2019-2020","January","10.7","Childhood Diseases - Tuberculosis (TB)","M10 [Number of cases of Childhood Diseases (0-5 years)]","0","0","0","NA"
"Assam","Cachar","Harinagar BPHC","2019-2020","January","11.1.1.a","Total Blood Smears Examined for Malaria","M11 [NVBDCP]","342","49","391","NA"
"Assam","Cachar","Harinagar BPHC","2019-2020","January","13.2","Number of DOTS cases completed successfully","M13 [Directly Observed Treatment, Short-course (DOTS)]","8","4","12","NA"
"Assam","Cachar","Harinagar BPHC","2019-2020","January","14.2.2","Ayush - Outpatient attendance","M14 [Patient Services]","0","0","0","NA"
"Assam","Cachar","Harinagar BPHC","2019-2020","January","14.12.3","Outborn – Male","M14 [Patient Services]","NA","0","0","NA"
"Assam","Cachar","Harinagar BPHC","2019-2020","January","14.12.5","Number of newborns admitted in SNCU - referred by ASHA","M14 [Patient Services]","NA","0","0","NA"
"Assam","Cachar","Jalalpur BPHC","2019-2020","January","2.2.1","Out of total institutional deliveries number of women discharged within 48 hours of delivery","M2 [Deliveries]","37","NA","37","NA"
"Assam","Cachar","Jalalpur BPHC","2019-2020","January","9.8.3","Child immunisation - Vitamin A Dose - 9","M9 [CHILD IMMUNISATION]","270","NA","270","NA"
"Assam","Cachar","Jalalpur BPHC","2019-2020","January","11.3.2","Dengue - Enzyme- Linked Immuno Sorbent Assay (ELISA) Test Positive","M11 [NVBDCP]","NA","NA","NA","NA"
"Assam","Cachar","Jalalpur BPHC","2019-2020","January","12.1.2.b","Out of registered, Boys received clinical services","M12 [Adolscent Health]","0","NA","0","NA"
"Assam","Cachar","Jalalpur BPHC","2019-2020","January","14.3.2.b","Inpatient (Female)- Adults","M14 [Patient Services]","540","NA","540","NA"
"Assam","Cachar","Jalalpur BPHC","2019-2020","January","15.5.2","Radiology - Ultrasonography (USG)","M15 [Laboratory Testing]","NA","NA","NA","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","1.2.5","Number of PW given 360 Calcium tablets","M1 [Ante Natal Care (ANC)]","287","0","287","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","1.4.3","Number of PW having Hb level<7 (tested cases)","M1 [Ante Natal Care (ANC)]","3","0","3","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","7.1.1","New RTI/STI cases identified - Male","M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases]","0","0","0","NA"
"Assam","Cachar","Jalalpur BPHC","2019-2020","January","16.4.3","Number of Child Deaths (1 -5 years) due to Fever related","M16 [Details of deaths reported with probable causes:]","0","NA","0","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","1.6.1.b","Out of above, number of PW found sero positive for syphilis","M1 [Ante Natal Care (ANC)]","0","NA","0","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","2.1.2","Number of PW given Tablet Misoprostol during home delivery","M2 [Deliveries]","0","0","0","NA"
"Assam","Cachar","Lakhipur BPHC","2019-2020","January","8.9","Injectable Contraceptive-Antara Program- Second Dose","M8 [Family Planning]","9","0","9","NA"
