,Title,Alternative Title,Creator,Contributor,Subject,Description,Date Issued,Date Modified,Date Created,Type,Format,Identifier,Source,Spatial Coverage,Accrual Periodicity,Coverage,Relation,Jurisdiction,High Value Dataset Category,Extent,Unmapped_is_visualized,Unmapped_ogdp_view_count,Unmapped_ogdp_download_count,Unmapped_api_request_count,Unmapped_field_show_export,Unmapped_is_rated,Unmapped_external_api_reference,Unmapped_field_resource_type,Unmapped_is_api_available
0,Variety-wise Daily Market Prices Data of Commodity,Current daily price of various commodities from various markets (Mandi),Directorate of Marketing and Inspection (DMI),Ministry of Agriculture and Farmers Welfare;Department of Agriculture and Farmers Welfare;Directorate of Marketing and Inspection (DMI),Agriculture;Agricultural Marketing,,2/6/2024,27/6/2025,21/5/2024,Dataset,text/csv,/resource/variety-wise-daily-market-prices-data-commodity,https://api.data.gov.in/resource/35985678-0d79-46b4-9ed6-6f13308a1d24?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,data.gov.in,Daily,Daily,1.0,Central,1,1464.0,,167942,394032,,True,1,6622308.0,5,1
1,Kisan Call Centre (KCC) - Transcripts of farmers queries & answers,District wise and month wise queries of farmers in Kisan Call Centre (KCC) ,Department of Agriculture and Farmers Welfare,Ministry of Agriculture and Farmers Welfare;Department of Agriculture and Farmers Welfare,Agriculture,,12/7/2024,27/6/2025,12/7/2024,Dataset,text/json,/resource/kisan-call-centre-kcc-transcripts-farmers-queries-answers,https://api.data.gov.in/resource/cef25fe2-9231-4128-8aec-2c948fedd43f?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,data.gov.in,Daily,Daily,1.0,Central,1,,,241962,219561,,True,1,6622307.0,5,1
2,All India Pincode Directory till last month,All India Pincode Directory (Through WebService),Department of Posts,Ministry of Communications;Department of Posts,Information and Communications;Post;Post,Data will be updated on monthly basis.,4/12/2020,27/6/2025,4/12/2020,Dataset,text/csv,/resource/all-india-pincode-directory-till-last-month,https://api.data.gov.in/resource/5c2f62fe-5afa-4119-a499-fec9d604d5bd?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,data.gov.in,Monthly,Monthly,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl03122020/pincode.csv;1.0,Central,0,23760720.0,0.0,177619,105072,9.0,True,1,6818292.0,4,1
3,Registrars of Companies (RoC)-wise Company Master Data,Company Master Data,Ministry of Corporate Affairs,Ministry of Corporate Affairs,Commerce;Companies;Commerce;Companies,Figures Authorized Capital and Paid up Capital are in INR; NA: Not Available The data upto 3rd November 2023.,24/4/2024,27/6/2025,15/9/2015,Dataset,text/csv,/resource/registrars-companies-roc-wise-company-master-data,https://data.gov.in/sites/default/files/dataurl15092015/company_master_data_upto_Mar_2015_Goa.csv,data.gov.in,Monthly,Monthly,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl15092015/company_master_data_upto_Mar_2015_Goa.csv;1.0,Central,1,996505.0,1.0,9035,39682,,True,1,603037492.0,5,1
4,Current Daily Price of Various Commodities from Various Markets (Mandi),Current daily price of various commodities from various markets (Mandi),Directorate of Marketing and Inspection (DMI),Ministry of Agriculture and Farmers Welfare;Department of Agriculture and Farmers Welfare;Directorate of Marketing and Inspection (DMI),Agriculture;Agricultural Marketing;Agriculture;Agricultural Marketing,,23/5/2013,27/6/2025,23/5/2013,Dataset,text/csv,/resource/current-daily-price-various-commodities-various-markets-mandi,https://api.data.gov.in/resource/9ef84268-d588-465a-a308-a864a43d0070?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,data.gov.in,Daily,Daily,https://data.gov.in/files/ogdpv2dms/s3fs-public/Date-Wise-Prices-all-Commodity.xml,Central,1,112.0,1.0,59612,37549,2.0,True,1,3670701.0,4,1
5,List of MSME Registered Units under UDYAM, UDYAM Registration (MSME Registration),"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",Industries;Medium;Micro;Small Scale,,29/5/2024,27/6/2025,22/5/2024,Dataset,text/csv,/resource/list-msme-registered-units-under-udyam,https://api.data.gov.in/resource/8b68ae56-84cf-4728-a0a6-1be11028dea7?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,data.gov.in,Daily,Daily,https://data.gov.in/files/ogdpv2dms/s3fs-public/udyamsampledata.csv;1.0,Central,1,3681.0,,12701,22700,,True,1,6878785.0,5,1
6,Health indicator-wise monthly datasets at sub district level from HMIS,Health indicator-wise monthly datasets at sub district level from HMIS ,Department of Health and Family Welfare,Ministry of Health and Family Welfare;Department of Health and Family Welfare,Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health,NA: Not Available/Not Applicable; The data is as reported by health facilities of respective States/UTs of India.,18/3/2020,12/2/2025,11/3/2020,Dataset,text/csv,/resource/health-indicator-wise-monthly-datasets-sub-district-level-hmis,https://api.data.gov.in/resource/0c2d45a3-d0b5-4053-bf9a-e00395319472?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,data.gov.in,Monthly,Monthly,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl11032020/HMIS-Assam-Cachar-Apr-2019-20.csv;1.0,Central,0,422373.0,0.0,52094,22486,,True,1,6737060.0,5,1
7,Real time Air Quality Index from various locations,Real time Air Quality Index,Central Pollution Control Board,"Ministry of Environment, Forest and Climate Change;Central Pollution Control Board",Environment and Forest;Industrial Air Pollution;Residential Air Pollution;Vehicular Air Pollution;Environment and Forest;Industrial Air Pollution;Residential Air Pollution;Vehicular Air Pollution,The real-time data as collected from the field instruments is displayed live without human intervention from CPCB. It is likely that the live data may display some errors or abnormal values. Any abnormal value may be due to any episode or instrumental error at any particular time.,4/8/2016,27/6/2025,25/7/2016,Dataset,text/csv,/resource/real-time-air-quality-index-various-locations,https://api.data.gov.in/resource/3b01bcb8-0b14-4abf-b6f2-c1bfd384ba69?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all,data.gov.in,Hourly,Hourly,https://data.gov.in/files/ogdpv2dms/s3fs-public/datafile/data_aqi_cpcb.xml;1.0,Central,1,17084.0,1.0,102119,22293,12.0,True,1,3630781.0,4,1
8,Wholesale Price Index (Base Year 2011-12) till last month,Wholesale Price Index,Office of the Economic Adviser,Ministry of Commerce and Industry;Department for Promotion of industry and Internal Trade;Office of the Economic Adviser,Economy;Prices;Finance;Economy;Economy;Prices;Finance;Economy,Data for last two months are provisional; NA: Not Applicable/Available,24/8/2017,27/6/2025,18/8/2017,Dataset,text/csv,/resource/wholesale-price-index-base-year-2011-12-till-last-month,https://api.data.gov.in/resource/239ac3d0-f08d-40d0-b03c-9b7a426a62d5?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,data.gov.in,Monthly,Monthly,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/dataurl30082017/wpi_monthly_data.csv;1.0,Central,0,555273.0,1.0,5321,8915,12.0,True,1,3630501.0,4,1
9,Daily data of reservoir level of Central Water Commission (CWC),Reservoir,National Water Informatics Centre,"Department of Water Resources, River Development & Ganga Rejuvenation;Ministry of Jal Shakti;National Water Informatics Centre",Water Resources,,24/8/2022,15/6/2025,17/5/2022,Dataset,text/csv,/resource/daily-data-reservoir-level-central-water-commission-cwc,https://api.data.gov.in/resource/1fc2148c-fc41-46f5-a364-bdc03f77053f?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,data.gov.in,Monthly,Monthly,https://data.gov.in/files/ogdpv2dms/s3fs-public/reservoir-cwc-jan22_1.csv;1.0,Central,1,756303.0,,3393,8311,,True,0,7210814.0,5,1
