,Title,Type,Alternative Title,Jurisdiction,Contributor,Date Issued,Date Modified,Date Created,Subject,Relation,Source,Format,Extent,Accrual Periodicity,Coverage,High Value Dataset Category,Creator,Description,Identifier,Spatial Coverage,Unmapped_field_resource_type,Unmapped_is_api_available,Unmapped_is_visualized,Unmapped_api_request_count,Unmapped_field_show_export,Unmapped_is_rated,Unmapped_external_api_reference,Unmapped_ogdp_download_count,Unmapped_ogdp_view_count
0,Variety-wise Daily Market Prices Data of Commodity,Dataset,Current daily price of various commodities from various markets (Mandi),Central,Ministry of Agriculture and Farmers Welfare;Department of Agriculture and Farmers Welfare;Directorate of Marketing and Inspection (DMI),2/6/2024,27/6/2025,21/5/2024,Agriculture;Agricultural Marketing,1.0,https://api.data.gov.in/resource/35985678-0d79-46b4-9ed6-6f13308a1d24?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,1464.0,Daily,Daily,1,Directorate of Marketing and Inspection (DMI),,/resource/variety-wise-daily-market-prices-data-commodity,data.gov.in,5,1,,,True,1,6622308.0,394032,167942
1,Kisan Call Centre (KCC) - Transcripts of farmers queries & answers,Dataset,District wise and month wise queries of farmers in Kisan Call Centre (KCC) ,Central,Ministry of Agriculture and Farmers Welfare;Department of Agriculture and Farmers Welfare,12/7/2024,27/6/2025,12/7/2024,Agriculture,1.0,https://api.data.gov.in/resource/cef25fe2-9231-4128-8aec-2c948fedd43f?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/json,,Daily,Daily,1,Department of Agriculture and Farmers Welfare,,/resource/kisan-call-centre-kcc-transcripts-farmers-queries-answers,data.gov.in,5,1,,,True,1,6622307.0,219561,241962
2,All India Pincode Directory till last month,Dataset,All India Pincode Directory (Through WebService),Central,Ministry of Communications;Department of Posts,4/12/2020,27/6/2025,4/12/2020,Information and Communications;Post;Post,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl03122020/pincode.csv;1.0,https://api.data.gov.in/resource/5c2f62fe-5afa-4119-a499-fec9d604d5bd?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,23760720.0,Monthly,Monthly,0,Department of Posts,Data will be updated on monthly basis.,/resource/all-india-pincode-directory-till-last-month,data.gov.in,4,1,0.0,9.0,True,1,6818292.0,105072,177619
3,Registrars of Companies (RoC)-wise Company Master Data,Dataset,Company Master Data,Central,Ministry of Corporate Affairs,24/4/2024,27/6/2025,15/9/2015,Commerce;Companies;Commerce;Companies,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl15092015/company_master_data_upto_Mar_2015_Goa.csv;1.0,https://data.gov.in/sites/default/files/dataurl15092015/company_master_data_upto_Mar_2015_Goa.csv,text/csv,996505.0,Monthly,Monthly,1,Ministry of Corporate Affairs,Figures Authorized Capital and Paid up Capital are in INR; NA: Not Available The data upto 3rd November 2023.,/resource/registrars-companies-roc-wise-company-master-data,data.gov.in,5,1,1.0,,True,1,603037492.0,39682,9035
4,Current Daily Price of Various Commodities from Various Markets (Mandi),Dataset,Current daily price of various commodities from various markets (Mandi),Central,Ministry of Agriculture and Farmers Welfare;Department of Agriculture and Farmers Welfare;Directorate of Marketing and Inspection (DMI),23/5/2013,27/6/2025,23/5/2013,Agriculture;Agricultural Marketing;Agriculture;Agricultural Marketing,https://data.gov.in/files/ogdpv2dms/s3fs-public/Date-Wise-Prices-all-Commodity.xml,https://api.data.gov.in/resource/9ef84268-d588-465a-a308-a864a43d0070?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,112.0,Daily,Daily,1,Directorate of Marketing and Inspection (DMI),,/resource/current-daily-price-various-commodities-various-markets-mandi,data.gov.in,4,1,1.0,2.0,True,1,3670701.0,37549,59612
5,List of MSME Registered Units under UDYAM,Dataset, UDYAM Registration (MSME Registration),Central,"Ministry of Micro, Small and Medium Enterprises",29/5/2024,27/6/2025,22/5/2024,Industries;Medium;Micro;Small Scale,https://data.gov.in/files/ogdpv2dms/s3fs-public/udyamsampledata.csv;1.0,https://api.data.gov.in/resource/8b68ae56-84cf-4728-a0a6-1be11028dea7?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,3681.0,Daily,Daily,1,"Ministry of Micro, Small and Medium Enterprises",,/resource/list-msme-registered-units-under-udyam,data.gov.in,5,1,,,True,1,6878785.0,22700,12701
6,Health indicator-wise monthly datasets at sub district level from HMIS,Dataset,Health indicator-wise monthly datasets at sub district level from HMIS ,Central,Ministry of Health and Family Welfare;Department of Health and Family Welfare,18/3/2020,12/2/2025,11/3/2020,Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl11032020/HMIS-Assam-Cachar-Apr-2019-20.csv;1.0,https://api.data.gov.in/resource/0c2d45a3-d0b5-4053-bf9a-e00395319472?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,422373.0,Monthly,Monthly,0,Department of Health and Family Welfare,NA: Not Available/Not Applicable; The data is as reported by health facilities of respective States/UTs of India.,/resource/health-indicator-wise-monthly-datasets-sub-district-level-hmis,data.gov.in,5,1,0.0,,True,1,6737060.0,22486,52094
7,Real time Air Quality Index from various locations,Dataset,Real time Air Quality Index,Central,"Ministry of Environment, Forest and Climate Change;Central Pollution Control Board",4/8/2016,27/6/2025,25/7/2016,Environment and Forest;Industrial Air Pollution;Residential Air Pollution;Vehicular Air Pollution;Environment and Forest;Industrial Air Pollution;Residential Air Pollution;Vehicular Air Pollution,https://data.gov.in/files/ogdpv2dms/s3fs-public/datafile/data_aqi_cpcb.xml;1.0,https://api.data.gov.in/resource/3b01bcb8-0b14-4abf-b6f2-c1bfd384ba69?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all,text/csv,17084.0,Hourly,Hourly,1,Central Pollution Control Board,The real-time data as collected from the field instruments is displayed live without human intervention from CPCB. It is likely that the live data may display some errors or abnormal values. Any abnormal value may be due to any episode or instrumental error at any particular time.,/resource/real-time-air-quality-index-various-locations,data.gov.in,4,1,1.0,12.0,True,1,3630781.0,22293,102119
8,Wholesale Price Index (Base Year 2011-12) till last month,Dataset,Wholesale Price Index,Central,Ministry of Commerce and Industry;Department for Promotion of industry and Internal Trade;Office of the Economic Adviser,24/8/2017,27/6/2025,18/8/2017,Economy;Prices;Finance;Economy;Economy;Prices;Finance;Economy,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/dataurl30082017/wpi_monthly_data.csv;1.0,https://api.data.gov.in/resource/239ac3d0-f08d-40d0-b03c-9b7a426a62d5?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,555273.0,Monthly,Monthly,0,Office of the Economic Adviser,Data for last two months are provisional; NA: Not Applicable/Available,/resource/wholesale-price-index-base-year-2011-12-till-last-month,data.gov.in,4,1,1.0,12.0,True,1,3630501.0,8915,5321
9,Daily data of reservoir level of Central Water Commission (CWC),Dataset,Reservoir,Central,"Department of Water Resources, River Development & Ganga Rejuvenation;Ministry of Jal Shakti;National Water Informatics Centre",24/8/2022,15/6/2025,17/5/2022,Water Resources,https://data.gov.in/files/ogdpv2dms/s3fs-public/reservoir-cwc-jan22_1.csv;1.0,https://api.data.gov.in/resource/1fc2148c-fc41-46f5-a364-bdc03f77053f?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,756303.0,Monthly,Monthly,1,National Water Informatics Centre,,/resource/daily-data-reservoir-level-central-water-commission-cwc,data.gov.in,5,1,,,True,0,7210814.0,8311,3393
