,Access Rights,Accrual Periodicity,Alternative Title/Abstract,Contributor,Coverage,Creator,Date Created,Date Issued,Date Modified,Depiction,Description,Format,Has Part,High Value Dataset Category,Identifier,Is Part Of,Is Referenced By,Is Replaced By,Is Version Of,Jurisdiction,Language,License,Note,Publisher,Relation,Rights,Rights Statement,Source,Spatial Coverage,Subject,Temporal Coverage,Title,Type,unmapped_api_request_count,unmapped_catalog_title,unmapped_external_api_reference,unmapped_field_resource_type,unmapped_field_show_export,unmapped_is_api_available,unmapped_is_rated,unmapped_is_visualized,unmapped_odgp_view_count,unmapped_ogdp_download_count
0,,Daily,,Directorate of Marketing and Inspection (DMI),Daily,Directorate of Marketing and Inspection (DMI),21/5/2024,2/6/2024,27/6/2025,,,text/csv,,1,data.gov.in/resource/variety-wise-daily-market-prices-data-commodity,,,,,Central,,,nan,Ministry of Agriculture and Farmers Welfare;Department of Agriculture and Farmers Welfare;Directorate of Marketing and Inspection (DMI) | Directorate of Marketing and Inspection (DMI),1.0,,,,data.gov.in,Agriculture;Agricultural Marketing,,Variety-wise Daily Market Prices Data of Commodity,Dataset,nan,Current daily price of various commodities from various markets (Mandi),6622308.0,5,True,1,1,nan,,394032
1,,Daily,,Department of Agriculture and Farmers Welfare,Daily,Department of Agriculture and Farmers Welfare,12/7/2024,12/7/2024,27/6/2025,,,text/json,,1,data.gov.in/resource/kisan-call-centre-kcc-transcripts-farmers-queries-answers,,,,,Central,,,nan,Ministry of Agriculture and Farmers Welfare;Department of Agriculture and Farmers Welfare | Department of Agriculture and Farmers Welfare,1.0,,,,data.gov.in,Agriculture,,Kisan Call Centre (KCC) - Transcripts of farmers queries & answers,Dataset,nan,District wise and month wise queries of farmers in Kisan Call Centre (KCC) ,6622307.0,5,True,1,1,nan,,219561
2,,Monthly,,Department of Posts,Monthly,Department of Posts,4/12/2020,4/12/2020,27/6/2025,,,text/csv,,0,data.gov.in/resource/all-india-pincode-directory-till-last-month,,,,,Central,,,Data will be updated on monthly basis.,Ministry of Communications;Department of Posts | Department of Posts,1.0,,,,data.gov.in,Information and Communications;Post | Post,,All India Pincode Directory till last month,Dataset,9.0,All India Pincode Directory (Through WebService),6818292.0,4,True,1,1,0.0,,105072
3,,Monthly,,Ministry of Corporate Affairs,Monthly,Ministry of Corporate Affairs,15/9/2015,24/4/2024,27/6/2025,,,text/csv,,1,data.gov.in/resource/registrars-companies-roc-wise-company-master-data,,,,,Central,,,Figures Authorized Capital and Paid up Capital are in INR; NA: Not Available The data upto 3rd November 2023.,Ministry of Corporate Affairs | Ministry of Corporate Affairs,1.0,,,,data.gov.in,Commerce;Companies | Commerce;Companies,,Registrars of Companies (RoC)-wise Company Master Data,Dataset,nan,Company Master Data,603037492.0,5,True,1,1,1.0,,39682
4,,Daily,,Directorate of Marketing and Inspection (DMI),Daily,Directorate of Marketing and Inspection (DMI),23/5/2013,23/5/2013,27/6/2025,,,text/csv,,1,data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi,,,,,Central,,,nan,Ministry of Agriculture and Farmers Welfare;Department of Agriculture and Farmers Welfare;Directorate of Marketing and Inspection (DMI) | Directorate of Marketing and Inspection (DMI),nan,,,,data.gov.in,Agriculture;Agricultural Marketing | Agriculture;Agricultural Marketing,,Current Daily Price of Various Commodities from Various Markets (Mandi),Dataset,2.0,Current daily price of various commodities from various markets (Mandi),3670701.0,4,True,1,1,1.0,,37549
5,,Daily,,"Ministry of Micro, Small and Medium Enterprises",Daily,"Ministry of Micro, Small and Medium Enterprises",22/5/2024,29/5/2024,27/6/2025,,,text/csv,,1,data.gov.in/resource/list-msme-registered-units-under-udyam,,,,,Central,,,nan,"Ministry of Micro, Small and Medium Enterprises | Ministry of Micro, Small and Medium Enterprises",1.0,,,,data.gov.in,Industries;Medium;Micro;Small Scale,,List of MSME Registered Units under UDYAM,Dataset,nan, UDYAM Registration (MSME Registration),6878785.0,5,True,1,1,nan,,22700
6,,Monthly,,Department of Health and Family Welfare,Monthly,Department of Health and Family Welfare,11/3/2020,18/3/2020,12/2/2025,,,text/csv,,0,data.gov.in/resource/health-indicator-wise-monthly-datasets-sub-district-level-hmis,,,,,Central,,,NA: Not Available/Not Applicable; The data is as reported by health facilities of respective States/UTs of India.,Ministry of Health and Family Welfare;Department of Health and Family Welfare | Department of Health and Family Welfare,1.0,,,,data.gov.in,Health and Family welfare;Family Welfare;Health | Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health,,Health indicator-wise monthly datasets at sub district level from HMIS,Dataset,nan,Health indicator-wise monthly datasets at sub district level from HMIS ,6737060.0,5,True,1,1,0.0,,22486
7,,Hourly,,Central Pollution Control Board,Hourly,Central Pollution Control Board,25/7/2016,4/8/2016,27/6/2025,,,text/csv,,1,data.gov.in/resource/real-time-air-quality-index-various-locations,,,,,Central,,,The real-time data as collected from the field instruments is displayed live without human intervention from CPCB. It is likely that the live data may display some errors or abnormal values. Any abnormal value may be due to any episode or instrumental error at any particular time.,"Ministry of Environment, Forest and Climate Change;Central Pollution Control Board | Central Pollution Control Board",1.0,,,,data.gov.in,Environment and Forest;Industrial Air Pollution;Residential Air Pollution;Vehicular Air Pollution | Environment and Forest;Industrial Air Pollution;Residential Air Pollution;Vehicular Air Pollution,,Real time Air Quality Index from various locations,Dataset,12.0,Real time Air Quality Index,3630781.0,4,True,1,1,1.0,,22293
8,,Monthly,,Office of the Economic Adviser,Monthly,Office of the Economic Adviser,18/8/2017,24/8/2017,27/6/2025,,,text/csv,,0,data.gov.in/resource/wholesale-price-index-base-year-2011-12-till-last-month,,,,,Central,,,Data for last two months are provisional; NA: Not Applicable/Available,Ministry of Commerce and Industry;Department for Promotion of industry and Internal Trade;Office of the Economic Adviser | Office of the Economic Adviser,1.0,,,,data.gov.in,Economy;Prices;Finance;Economy | Economy;Prices;Finance;Economy,,Wholesale Price Index (Base Year 2011-12) till last month,Dataset,12.0,Wholesale Price Index,3630501.0,4,True,1,1,1.0,,8915
9,,Monthly,,National Water Informatics Centre,Monthly,National Water Informatics Centre,17/5/2022,24/8/2022,15/6/2025,,,text/csv,,1,data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc,,,,,Central,,,nan,"Department of Water Resources, River Development & Ganga Rejuvenation;Ministry of Jal Shakti;National Water Informatics Centre | National Water Informatics Centre",1.0,,,,data.gov.in,Water Resources,,Daily data of reservoir level of Central Water Commission (CWC),Dataset,nan,Reservoir,7210814.0,5,True,1,0,nan,,8311
10,,Others,,International Institute for Population Sciences (IIPS),Others,International Institute for Population Sciences (IIPS),12/2/2022,15/2/2022,2/6/2025,,,application/vnd.ms-excel,,0,data.gov.in/resource/all-india-and-stateut-wise-factsheets-national-family-health-survey-nfhs-5-2019-2021,,,,,Central,,," For all indicators except infant and child mortality rates, figures in ( ) are based on 25-49 unweighted cases and  * denotes percentage not shown based on fewer than 25 unweighted cases. 
For infant and child mortality indicators, figures in ( ) are based on 250-499 unweighted person years of exposure to the risk of death and * denotes figures not given based on fewer than 250 unweighted person years of exposure to the risk of death.

For more details please, visit  to URL http://rchiips.org/nfhs/NFHS-5_FCTS/COMPENDIUM/NFHS-5%20State%20Factsheet%20Compendium_Phase-I.pdf  and http://rchiips.org/nfhs/NFHS-5_FCTS/Final%20Compendium%20of%20fact%20sheets_India%20and%2014%20States_UTs%20(Phase-II).pdf",Ministry of Health and Family Welfare;Department of Health and Family Welfare;International Institute for Population Sciences (IIPS) | International Institute for Population Sciences (IIPS),0.0,,,,data.gov.in,Health and Family welfare;Family Welfare | Health and Family welfare;Health and Family welfare;Health and Family welfare;Health and Family welfare;Health and Family welfare;Health and Family welfare,,"All India and State/UT-wise Factsheets of National Family Health Survey (NFHS) - 5, 2019-2021",Dataset,35.0,National Family Health Survey (NFHS) - 5,nan,1,True,0,1,0.0,,7634
