Title,Relation [datafile_url],Relation [datafile],Format/Media Size,Extent
Variety-wise Daily Market Prices Data of Commodity,https://api.data.gov.in/resource/35985678-0d79-46b4-9ed6-6f13308a1d24?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,,text/csv,1464
Kisan Call Centre (KCC) - Transcripts of farmers queries & answers,https://api.data.gov.in/resource/cef25fe2-9231-4128-8aec-2c948fedd43f?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,,text/json,
All India Pincode Directory till last month,https://api.data.gov.in/resource/5c2f62fe-5afa-4119-a499-fec9d604d5bd?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl03122020/pincode.csv,text/csv,23760720
Registrars of Companies (RoC)-wise Company Master Data,https://data.gov.in/sites/default/files/dataurl15092015/company_master_data_upto_Mar_2015_Goa.csv,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl15092015/company_master_data_upto_Mar_2015_Goa.csv,text/csv,996505
Current Daily Price of Various Commodities from Various Markets (Mandi),https://api.data.gov.in/resource/9ef84268-d588-465a-a308-a864a43d0070?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,https://data.gov.in/files/ogdpv2dms/s3fs-public/Date-Wise-Prices-all-Commodity.xml,text/csv,112
List of MSME Registered Units under UDYAM,https://api.data.gov.in/resource/8b68ae56-84cf-4728-a0a6-1be11028dea7?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,https://data.gov.in/files/ogdpv2dms/s3fs-public/udyamsampledata.csv,text/csv,3681
Health indicator-wise monthly datasets at sub district level from HMIS,https://api.data.gov.in/resource/0c2d45a3-d0b5-4053-bf9a-e00395319472?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl11032020/HMIS-Assam-Cachar-Apr-2019-20.csv,text/csv,422373
Real time Air Quality Index from various locations,https://api.data.gov.in/resource/3b01bcb8-0b14-4abf-b6f2-c1bfd384ba69?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all,https://data.gov.in/files/ogdpv2dms/s3fs-public/datafile/data_aqi_cpcb.xml,text/csv,17084
Wholesale Price Index (Base Year 2011-12) till last month,https://api.data.gov.in/resource/239ac3d0-f08d-40d0-b03c-9b7a426a62d5?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/dataurl30082017/wpi_monthly_data.csv,text/csv,555273
Daily data of reservoir level of Central Water Commission (CWC),https://api.data.gov.in/resource/1fc2148c-fc41-46f5-a364-bdc03f77053f?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,https://data.gov.in/files/ogdpv2dms/s3fs-public/reservoir-cwc-jan22_1.csv,text/csv,756303
"All India and State/UT-wise Factsheets of National Family Health Survey (NFHS) - 5, 2019-2021",,https://data.gov.in/files/ogdpv2dms/s3fs-public/datafile/NFHS_5_Factsheets_Data.xls,application/vnd.ms-excel,179712
FDI Equity Inflows from the year 2000 till last quarter,http://data.gov.in/sites/default/files/dataurl13062017/dipp.csv,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl13062017/dipp.csv,text/csv,5498
"India Districts Factsheets of National Family Health Survey (NFHS) - 5, 2019-2021",,https://data.gov.in/files/ogdpv2dms/s3fs-public/datafile/NFHS_5_India_Districts_Factsheet_Data.xls,application/vnd.ms-excel,757248
Month-wise All India Crowdsourced Mobile Data Speed Measurement,https://api.data.gov.in/resource/ade6e644-91b8-4d27-97ba-e8c42c48f278?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl23042018/march18_myspeed.csv,text/csv,7345405
Sub Divisional Monthly Rainfall from 1901 to 2017,,https://data.gov.in/files/ogdpv2dms/s3fs-public/datafile/Sub_Division_IMD_2017.csv,text/csv,445369
Voice Call Quality Customer Experience till last month,https://api.data.gov.in/resource/98e76922-ab13-474e-9bce-78942583cd0e?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,https://data.gov.in/files/ogdpv2dms/s3fs-public/datafile/my_calls_1.csv,text/csv,1233
Wholesale Price Index (Base Year 2011-12) till last financial year,http://data.gov.in/sites/default/files/dataurl30082017/wpi_yearly_data.csv,,text/csv,120266
