title,resource_category,catalog_title,govt_type,ministry_department,state_department,published_date,changed,created,sector,sector_resource,field_resource_type,datafile,datafile_url,file_format,file_size,frequency,granularity,field_from_api,is_api_available,is_visualized,api_request_count,field_high_value_dataset,field_show_export,cdos_state_ministry,is_rated,external_api_reference,note,node_alias,ogdp_download_count,ogdp_view_count,domain
Variety-wise Daily Market Prices Data of Commodity,Dataset,Current daily price of various commodities from various markets (Mandi),Central,Ministry of Agriculture and Farmers Welfare;Department of Agriculture and Farmers Welfare;Directorate of Marketing and Inspection (DMI),,2/6/2024,27/6/2025,21/5/2024,Agriculture;Agricultural Marketing,,5,,https://api.data.gov.in/resource/35985678-0d79-46b4-9ed6-6f13308a1d24?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,1464,Daily,Daily,1,1,,,1,TRUE,Directorate of Marketing and Inspection (DMI),1,6622308,,/resource/variety-wise-daily-market-prices-data-commodity,394032,167942,data.gov.in
Kisan Call Centre (KCC) - Transcripts of farmers queries & answers,Dataset,District wise and month wise queries of farmers in Kisan Call Centre (KCC) ,Central,Ministry of Agriculture and Farmers Welfare;Department of Agriculture and Farmers Welfare,,12/7/2024,27/6/2025,12/7/2024,Agriculture,,5,,https://api.data.gov.in/resource/cef25fe2-9231-4128-8aec-2c948fedd43f?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/json,,Daily,Daily,1,1,,,1,TRUE,Department of Agriculture and Farmers Welfare,1,6622307,,/resource/kisan-call-centre-kcc-transcripts-farmers-queries-answers,219561,241962,data.gov.in
All India Pincode Directory till last month,Dataset,All India Pincode Directory (Through WebService),Central,Ministry of Communications;Department of Posts,,4/12/2020,27/6/2025,4/12/2020,Information and Communications;Post,Post,4,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl03122020/pincode.csv,https://api.data.gov.in/resource/5c2f62fe-5afa-4119-a499-fec9d604d5bd?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,23760720,Monthly,Monthly,1,1,0,9,0,TRUE,Department of Posts,1,6818292,Data will be updated on monthly basis.,/resource/all-india-pincode-directory-till-last-month,105072,177619,data.gov.in
Registrars of Companies (RoC)-wise Company Master Data,Dataset,Company Master Data,Central,Ministry of Corporate Affairs,,24/4/2024,27/6/2025,15/9/2015,Commerce;Companies,Commerce;Companies,5,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl15092015/company_master_data_upto_Mar_2015_Goa.csv,https://data.gov.in/sites/default/files/dataurl15092015/company_master_data_upto_Mar_2015_Goa.csv,text/csv,996505,Monthly,Monthly,1,1,1,,1,TRUE,Ministry of Corporate Affairs,1,603037492,Figures Authorized Capital and Paid up Capital are in INR; NA: Not Available The data upto 3rd November 2023.,/resource/registrars-companies-roc-wise-company-master-data,39682,9035,data.gov.in
Current Daily Price of Various Commodities from Various Markets (Mandi),Dataset,Current daily price of various commodities from various markets (Mandi),Central,Ministry of Agriculture and Farmers Welfare;Department of Agriculture and Farmers Welfare;Directorate of Marketing and Inspection (DMI),,23/5/2013,27/6/2025,23/5/2013,Agriculture;Agricultural Marketing,Agriculture;Agricultural Marketing,4,https://data.gov.in/files/ogdpv2dms/s3fs-public/Date-Wise-Prices-all-Commodity.xml,https://api.data.gov.in/resource/9ef84268-d588-465a-a308-a864a43d0070?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,112,Daily,Daily,,1,1,2,1,TRUE,Directorate of Marketing and Inspection (DMI),1,3670701,,/resource/current-daily-price-various-commodities-various-markets-mandi,37549,59612,data.gov.in
List of MSME Registered Units under UDYAM,Dataset, UDYAM Registration (MSME Registration),Central,"Ministry of Micro, Small and Medium Enterprises",,29/5/2024,27/6/2025,22/5/2024,Industries;Medium;Micro;Small Scale,,5,https://data.gov.in/files/ogdpv2dms/s3fs-public/udyamsampledata.csv,https://api.data.gov.in/resource/8b68ae56-84cf-4728-a0a6-1be11028dea7?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,3681,Daily,Daily,1,1,,,1,TRUE,"Ministry of Micro, Small and Medium Enterprises",1,6878785,,/resource/list-msme-registered-units-under-udyam,22700,12701,data.gov.in
Health indicator-wise monthly datasets at sub district level from HMIS,Dataset,Health indicator-wise monthly datasets at sub district level from HMIS ,Central,Ministry of Health and Family Welfare;Department of Health and Family Welfare,,18/3/2020,12/2/2025,11/3/2020,Health and Family welfare;Family Welfare;Health,Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health,5,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl11032020/HMIS-Assam-Cachar-Apr-2019-20.csv,https://api.data.gov.in/resource/0c2d45a3-d0b5-4053-bf9a-e00395319472?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,422373,Monthly,Monthly,1,1,0,,0,TRUE,Department of Health and Family Welfare,1,6737060,NA: Not Available/Not Applicable; The data is as reported by health facilities of respective States/UTs of India.,/resource/health-indicator-wise-monthly-datasets-sub-district-level-hmis,22486,52094,data.gov.in
Real time Air Quality Index from various locations,Dataset,Real time Air Quality Index,Central,"Ministry of Environment, Forest and Climate Change;Central Pollution Control Board",,4/8/2016,27/6/2025,25/7/2016,Environment and Forest;Industrial Air Pollution;Residential Air Pollution;Vehicular Air Pollution,Environment and Forest;Industrial Air Pollution;Residential Air Pollution;Vehicular Air Pollution,4,https://data.gov.in/files/ogdpv2dms/s3fs-public/datafile/data_aqi_cpcb.xml,https://api.data.gov.in/resource/3b01bcb8-0b14-4abf-b6f2-c1bfd384ba69?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all,text/csv,17084,Hourly,Hourly,1,1,1,12,1,TRUE,Central Pollution Control Board,1,3630781,The real-time data as collected from the field instruments is displayed live without human intervention from CPCB. It is likely that the live data may display some errors or abnormal values. Any abnormal value may be due to any episode or instrumental error at any particular time.,/resource/real-time-air-quality-index-various-locations,22293,102119,data.gov.in
Wholesale Price Index (Base Year 2011-12) till last month,Dataset,Wholesale Price Index,Central,Ministry of Commerce and Industry;Department for Promotion of industry and Internal Trade;Office of the Economic Adviser,,24/8/2017,27/6/2025,18/8/2017,Economy;Prices;Finance;Economy,Economy;Prices;Finance;Economy,4,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/dataurl30082017/wpi_monthly_data.csv,https://api.data.gov.in/resource/239ac3d0-f08d-40d0-b03c-9b7a426a62d5?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,555273,Monthly,Monthly,1,1,1,12,0,TRUE,Office of the Economic Adviser,1,3630501,Data for last two months are provisional; NA: Not Applicable/Available,/resource/wholesale-price-index-base-year-2011-12-till-last-month,8915,5321,data.gov.in
Daily data of reservoir level of Central Water Commission (CWC),Dataset,Reservoir,Central,"Department of Water Resources, River Development & Ganga Rejuvenation;Ministry of Jal Shakti;National Water Informatics Centre",,24/8/2022,15/6/2025,17/5/2022,Water Resources,,5,https://data.gov.in/files/ogdpv2dms/s3fs-public/reservoir-cwc-jan22_1.csv,https://api.data.gov.in/resource/1fc2148c-fc41-46f5-a364-bdc03f77053f?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,756303,Monthly,Monthly,1,1,,,1,TRUE,National Water Informatics Centre,0,7210814,,/resource/daily-data-reservoir-level-central-water-commission-cwc,8311,3393,data.gov.in
"All India and State/UT-wise Factsheets of National Family Health Survey (NFHS) - 5, 2019-2021",Dataset,National Family Health Survey (NFHS) - 5,Central,Ministry of Health and Family Welfare;Department of Health and Family Welfare;International Institute for Population Sciences (IIPS),,15/2/2022,2/6/2025,12/2/2022,Health and Family welfare;Family Welfare,Health and Family welfare;Health and Family welfare;Health and Family welfare;Health and Family welfare;Health and Family welfare;Health and Family welfare,1,https://data.gov.in/files/ogdpv2dms/s3fs-public/datafile/NFHS_5_Factsheets_Data.xls,,application/vnd.ms-excel,179712,Others,Others,0,0,0,35,0,TRUE,International Institute for Population Sciences (IIPS),1,," For all indicators except infant and child mortality rates, figures in ( ) are based on 25-49 unweighted cases and  * denotes percentage not shown based on fewer than 25 unweighted cases. 
For infant and child mortality indicators, figures in ( ) are based on 250-499 unweighted person years of exposure to the risk of death and * denotes figures not given based on fewer than 250 unweighted person years of exposure to the risk of death.

For more details please, visit  to URL http://rchiips.org/nfhs/NFHS-5_FCTS/COMPENDIUM/NFHS-5%20State%20Factsheet%20Compendium_Phase-I.pdf  and http://rchiips.org/nfhs/NFHS-5_FCTS/Final%20Compendium%20of%20fact%20sheets_India%20and%2014%20States_UTs%20(Phase-II).pdf",/resource/all-india-and-stateut-wise-factsheets-national-family-health-survey-nfhs-5-2019-2021,7634,2881,data.gov.in
FDI Equity Inflows from the year 2000 till last quarter,Dataset,Foreign Direct Investment (FDI) Equity Inflows,Central,Ministry of Commerce and Industry;Department for Promotion of industry and Internal Trade,,14/6/2017,18/6/2025,14/6/2017,Commerce,Commerce,4,https://data.gov.in/files/ogdpv2dms/s3fs-public/dataurl13062017/dipp.csv,http://data.gov.in/sites/default/files/dataurl13062017/dipp.csv,text/csv,5498,Quarterly,Quarterly,,1,1,,0,TRUE,Department for Promotion of industry and Internal Trade,1,3630701,"Data are being updated quarterly basic, it contains data till last quarter of the current year.",/resource/fdi-equity-inflows-year-2000-till-last-quarter,5633,2827,data.gov.in
