original_title,original_description,original_note,enhanced_title,enhanced_description,generated_note,themes,publisher,jurisdiction,frequency,quality_score,llm_response
Real time Air Quality Index from various locations,,4,Real-Time Air Quality Index From Various Locations Across India,"This dataset provides hourly real-time Air Quality Index (AQI) readings from multiple monitoring locations across India. It captures AQI values and available pollutant indicators such as PM2.5, PM10, NO2, SO2, O3, and CO, enabling assessment of current air quality and exposure risk. Measurements are collected from a national network of central and state monitoring stations and published for public access through the data portal. The data supports public health advisories, environmental research, and policy analysis, with geographic coverage at the location level (city or station) and temporal resolution of hourly updates. Records typically include timestamp, location, AQI category, dominant pollutant, and, where available, coordinates. The update cadence is hourly, aligning with near real-time monitoring.",Notes: Hourly readings are sourced from the national air quality monitoring network operated by central and state agencies and published with station identifiers and timestamps. Data gaps may occur during instrument maintenance; accompanying metadata includes location details for location-specific health advisories and policy analysis.,"Environment, Public Health",,Central,Hourly,0.85,"{""enhanced_title"": ""Real-Time Air Quality Index From Various Locations Across India"", ""enhanced_description"": ""This dataset provides hourly real-time Air Quality Index (AQI) readings from multiple monitoring locations across India. It captures AQI values and available pollutant indicators such as PM2.5, PM10, NO2, SO2, O3, and CO, enabling assessment of current air quality and exposure risk. Measurements are collected from a national network of central and state monitoring stations and published for public access through the data portal. The data supports public health advisories, environmental research, and policy analysis, with geographic coverage at the location level (city or station) and temporal resolution of hourly updates. Records typically include timestamp, location, AQI category, dominant pollutant, and, where available, coordinates. The update cadence is hourly, aligning with near real-time monitoring."", ""generated_note"": ""Notes: Hourly readings are sourced from the national air quality monitoring network operated by central and state agencies and published with station identifiers and timestamps. Data gaps may occur during instrument maintenance; accompanying metadata includes location details for location-specific health advisories and policy analysis."", ""processing_summary"": {""title_changes"": ""Added geographic scope 'Across India' and time-context emphasis with 'Real-Time' for clarity and consistency"", ""description_changes"": ""Transformed empty/ambiguous description into a comprehensive, multi-sentence summary detailing scope, pollutants, frequency, data structure, and use cases; integrated theme and keyword context for richer discovery"", ""note_generation"": ""Generated a technical note describing data sources (national monitoring network), cadence, potential data gaps, and applicability to public health and policy analysis""}, ""metadata_quality_score"": 0.85, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcat:keyword"", ""Publisher"", ""dcterms:temporal""]}"
Kisan Call Centre (KCC) - Transcripts of farmers queries & answers,,5,Kisan Call Centre Transcripts of Farmers' Queries and Answers in India,"This dataset comprises transcripts of farmers' queries and Kisan Call Centre (KCC) agent responses collected across India. It documents daily helpline interactions aimed at resolving agricultural queries and improving public service delivery. Each record typically includes call date and time, caller location (where available), issue category, farmer question, and the corresponding agent response. The data supports farmer outreach, service quality monitoring, and policy analysis by the Ministry of Agriculture and Farmers Welfare. Updated daily, it covers ongoing interactions and evolving information needs of farmers.","Transcripts are sourced from the Kisan Call Centre helpline and may be anonymized prior to publication. Data are collected daily and may include caller location, date/time, and issue category. Processing includes terminology standardization and alignment with public service delivery indicators.","agriculture, public service delivery, information and communication technology",,Central,Daily,0.85,"{""enhanced_title"": ""Kisan Call Centre Transcripts of Farmers' Queries and Answers in India"", ""enhanced_description"": ""This dataset comprises transcripts of farmers' queries and Kisan Call Centre (KCC) agent responses collected across India. It documents daily helpline interactions aimed at resolving agricultural queries and improving public service delivery. Each record typically includes call date and time, caller location (where available), issue category, farmer question, and the corresponding agent response. The data supports farmer outreach, service quality monitoring, and policy analysis by the Ministry of Agriculture and Farmers Welfare. Updated daily, it covers ongoing interactions and evolving information needs of farmers."", ""generated_note"": ""Transcripts are sourced from the Kisan Call Centre helpline and may be anonymized prior to publication. Data are collected daily and may include caller location, date/time, and issue category. Processing includes terminology standardization and alignment with public service delivery indicators."", ""processing_summary"": {""title_changes"": ""Expanded 'KCC' to 'Kisan Call Centre' and added geographic scope 'in India' for clarity and searchability"", ""description_changes"": ""Enhanced to describe content, purpose, frequency, scope, and potential data fields; aligned with Indian government context and sector terminology"", ""note_generation"": ""Basis: Kisan Call Centre transcripts, daily data collection, typical transcript metadata and public service objectives""}, ""metadata_quality_score"": 0.85, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcatin:note"", ""dcterms:spatial"", ""dcterms:temporal"", ""dcat:keyword""]}"
All India pincode directory updated till last month,"All India Pincode Directory through Webservice which contains all the pincode list across India with relevant information like Circle Name, Region Name, Division Name, Office Name, Pincode, Office Type, Delivery, District, State Name. Postal Index Number (PIN or PIN Code) is a 6 digit code of Post Office numbering used by India Post. The PIN was introduced on August 15, 1972. There are 9 PIN regions in the country. The first 8 are geographical regions and the digit 9 is reserved for the Army Pos",The pincode dataset is updated every month,"All-India Postal Index Number (PIN) Code Directory With Office Details and Regional Breakdown, Updated Through Last Month","This dataset provides a nationwide reference of Postal Index Numbers (PIN) codes, including office-level metadata across India. It lists each PIN together with Circle Name, Region Name, Division Name, Office Name, Office Type, Delivery, District and State Name. Sourced from the Department of Posts (DoP) and exposed via a PIN Code Directory Webservice, the data supports address validation, mail routing, and logistics planning. The directory is updated monthly and reflects information current as of the end of the last month, with district- and state-level granularity suitable for programmatic lookups and integration into address verification workflows.","Derived from Department of Posts PIN Code Directory via the DoP PIN Directory Webservice; monthly updates capture new/renamed posts and delivery area changes, with potential lags tied to official DoP releases.","india pincodes, pincode directory, postal service,",No state department mentioned,Central,"""P1M ^^xsd:duration"" or an URI pointing  to ""http://example.com/duration/1MONTH""",0.85,"{""enhanced_title"": ""All-India Postal Index Number (PIN) Code Directory With Office Details and Regional Breakdown, Updated Through Last Month"", ""enhanced_description"": ""This dataset provides a nationwide reference of Postal Index Numbers (PIN) codes, including office-level metadata across India. It lists each PIN together with Circle Name, Region Name, Division Name, Office Name, Office Type, Delivery, District and State Name. Sourced from the Department of Posts (DoP) and exposed via a PIN Code Directory Webservice, the data supports address validation, mail routing, and logistics planning. The directory is updated monthly and reflects information current as of the end of the last month, with district- and state-level granularity suitable for programmatic lookups and integration into address verification workflows."", ""generated_note"": ""Derived from Department of Posts PIN Code Directory via the DoP PIN Directory Webservice; monthly updates capture new/renamed posts and delivery area changes, with potential lags tied to official DoP releases."", ""processing_summary"": {""title_changes"": ""Expanded to spell out PIN as Postal Index Number, added all-India scope, and included temporal context 'Updated Through Last Month' for clarity"", ""description_changes"": ""Converted to a richer description detailing data contents, purpose, frequency, and geographic/temporal scope; explicitly mentions source and data structure"", ""note_generation"": ""Grounded on DoP PIN Code Directory and its webservice, with emphasis on update cadence and data provenance""}, ""metadata_quality_score"": 0.85, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcat:keyword"", ""dcterms:publisher""]}"
Daily Wholesale Mandi Market Prices of Agricultural Commodities by Variety,"The data refers to prices of variety wise agricultural commodities. It has the wholesale maximum price, minimum price and modal price on daily basis. This dataset is generated through the AGMARKNET Portal (http://agmarknet.gov.in), which disseminates daily market information of various commodities.","The mandi prices are at wholesale level filtered by state, districts and agricultural commodity type. ",Daily Wholesale Mandi Market Prices of Agricultural Commodities by Variety in India Since 2000,"Daily wholesale price information for agricultural commodities differentiated by variety across Mandis in India. The dataset provides maximum, minimum, and modal (most frequent) prices recorded each day, with data drawn from the AGMARKNET portal disseminating daily market information nationwide. It covers Mandis across India and can be regionally filtered by state and district, showing prices at wholesale level. The feed is updated daily and has been in operation since 1 March 2000, enabling time-series analysis of price movements, inflation monitoring, and policy evaluation. Data records typically include commodity, variety, market (Mandi), date, and the three price metrics.","Generated from the AGMARKNET data feeds (agmarknet.gov.in), collected at wholesale level from state Agricultural Marketing Committees and Mandis. Prices are reported daily by market officials and validated prior to publication. The dataset uses standard commodity and variety classifications and supports price discovery, market analysis, and policy monitoring workflows.","Agriculture, Agricultural Marketing",,Central,"""P1D ^^ xsd:duration"" or ""http://example.com/duration/DAILY""",0.85,"{""enhanced_title"": ""Daily Wholesale Mandi Market Prices of Agricultural Commodities by Variety in India Since 2000"", ""enhanced_description"": ""Daily wholesale price information for agricultural commodities differentiated by variety across Mandis in India. The dataset provides maximum, minimum, and modal (most frequent) prices recorded each day, with data drawn from the AGMARKNET portal disseminating daily market information nationwide. It covers Mandis across India and can be regionally filtered by state and district, showing prices at wholesale level. The feed is updated daily and has been in operation since 1 March 2000, enabling time-series analysis of price movements, inflation monitoring, and policy evaluation. Data records typically include commodity, variety, market (Mandi), date, and the three price metrics."", ""generated_note"": ""Generated from the AGMARKNET data feeds (agmarknet.gov.in), collected at wholesale level from state Agricultural Marketing Committees and Mandis. Prices are reported daily by market officials and validated prior to publication. The dataset uses standard commodity and variety classifications and supports price discovery, market analysis, and policy monitoring workflows."", ""processing_summary"": {""title_changes"": ""Geographic scope expanded to 'in India' and a historical baseline added with 'Since 2000' to reflect long-running daily series, while preserving core subject matter."", ""description_changes"": ""Expanded from a brief description to a detailed, multi-sentence overview including contents, frequency, temporal coverage, data fields, and use cases; clarified data provenance and dissemination channel (AGMARKNET)."", ""note_generation"": ""Basis drawn from AGMARKNET data portal and typical mandi price reporting practices; emphasizes data collection, validation, and dissemination characteristics.""}, ""metadata_quality_score"": 0.85, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcatin:note"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcterms:temporal"", ""dcat:startDate""]}"
Health indicator-wise monthly datasets at sub district level from HMIS,,5,Health Indicator-Wise Monthly Datasets at Sub-District Level from Health Management Information System in India,"This dataset provides monthly health indicator values at the sub-district level across India, derived from the Health Management Information System (HMIS). It includes indicator-wise measures reported by health facilities and aggregated to sub-districts, with the reporting month and units. The data supports planning, monitoring, and evaluation of public health programs by the Ministry of Health and Family Welfare (MoHFW) and state health departments. Updated monthly, it captures ongoing HMIS reporting cycles and enables trend analysis, district and sub-district comparisons, and targeted resource allocation. The structure typically includes administrative identifiers (state, district, sub-district), month, indicator name, value, unit, and data origin.",Data are compiled from Health Management Information System (HMIS) reports submitted by health facilities nationwide and aggregated to sub-district level; monthly updates are validated before publication; users should note potential coverage gaps in rural areas and reporting delays.,"Health, Public Health, Health Information Systems",,Central,Monthly,0.75,"{""enhanced_title"": ""Health Indicator-Wise Monthly Datasets at Sub-District Level from Health Management Information System in India"", ""enhanced_description"": ""This dataset provides monthly health indicator values at the sub-district level across India, derived from the Health Management Information System (HMIS). It includes indicator-wise measures reported by health facilities and aggregated to sub-districts, with the reporting month and units. The data supports planning, monitoring, and evaluation of public health programs by the Ministry of Health and Family Welfare (MoHFW) and state health departments. Updated monthly, it captures ongoing HMIS reporting cycles and enables trend analysis, district and sub-district comparisons, and targeted resource allocation. The structure typically includes administrative identifiers (state, district, sub-district), month, indicator name, value, unit, and data origin."", ""generated_note"": ""Data are compiled from Health Management Information System (HMIS) reports submitted by health facilities nationwide and aggregated to sub-district level; monthly updates are validated before publication; users should note potential coverage gaps in rural areas and reporting delays."", ""processing_summary"": {""title_changes"": ""Expanded abbreviation HMIS to Health Management Information System; added explicit India geographic scope and sub-district focus; retained core subject with clearer phrasing"", ""description_changes"": ""Generated a comprehensive 3-4 sentence description detailing content, purpose, update frequency, geographic and temporal scope, and data structure"", ""note_generation"": ""Basis: HMIS data flow and typical Indian health information system practices; emphasizes data collection, aggregation, validation, and caveats""}, ""metadata_quality_score"": 0.75, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcat:keyword""]}"
List of MSME Registered Units under UDYAM,,5,"Micro, Small and Medium Enterprises (MSME) Registered Units Under Udyam Registration in India","This dataset enumerates MSME registered units under the Udyam Registration system across India. It provides a national list of micro, small and medium enterprises registered with the government, including unit identifiers, registered names, location details (state and district where available), sectoral activity, and registration status. The data supports policy monitoring, market access, and program outreach by the Ministry of Micro, Small and Medium Enterprises (MSME). It is updated daily, covering the latest registrations and amendments, and is suitable for sector analysis, entrepreneurship support, and compliance checks.",Data is compiled from the Udyam Registration system and published via the MSME portal. Units are enumerated with available identifiers and location details; daily updates reflect new registrations and amendments. Users should expect occasional state-level gaps and duplicates that may require reconciliation.,"economic development, industry and commerce, public administration",,Central,Daily,0.78,"{""enhanced_title"": ""Micro, Small and Medium Enterprises (MSME) Registered Units Under Udyam Registration in India"", ""enhanced_description"": ""This dataset enumerates MSME registered units under the Udyam Registration system across India. It provides a national list of micro, small and medium enterprises registered with the government, including unit identifiers, registered names, location details (state and district where available), sectoral activity, and registration status. The data supports policy monitoring, market access, and program outreach by the Ministry of Micro, Small and Medium Enterprises (MSME). It is updated daily, covering the latest registrations and amendments, and is suitable for sector analysis, entrepreneurship support, and compliance checks."", ""generated_note"": ""Data is compiled from the Udyam Registration system and published via the MSME portal. Units are enumerated with available identifiers and location details; daily updates reflect new registrations and amendments. Users should expect occasional state-level gaps and duplicates that may require reconciliation."", ""processing_summary"": {""title_changes"": ""Expanded to spell out MSME and Udyam Registration; added geographic scope"", ""description_changes"": ""Enhanced to describe contents, purpose, frequency, and structure; added reference to the publishing ministry and national coverage"", ""note_generation"": ""Created based on Udyam registration data flow and MSME portal publishing practices""}, ""metadata_quality_score"": 0.78, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcatin:note"", ""dcterms:spatial""]}"
Current Daily Price of Various Commodities from Various Markets (Mandi),,4,Daily Wholesale Prices of Agricultural Commodities Across Indian APMC Mandis (Agricultural Produce Market Committee),"This dataset records daily wholesale price observations for a range of agricultural commodities across Indian APMC mandis (Agricultural Produce Market Committees). It includes price data reported by markets, with date and price unit, and may provide maximum, minimum, or modal values where reported. The data is collected from central government marketing networks and is updated daily to support price discovery, market monitoring, and policy analysis. It supports district- or state-level analyses where available and can be used to track price trends, inflation, and regional market performance across time.",Data are collected from mandis nationwide through central government marketing channels and published on a daily cadence. Prices may be provisional on days with incomplete reporting and are revised as market reports are finalized. The dataset follows standard agricultural marketing data practices and supports integration with related price datasets for policy and market analysis.,,,Central,Daily,0.62,"{""enhanced_title"": ""Daily Wholesale Prices of Agricultural Commodities Across Indian APMC Mandis (Agricultural Produce Market Committee)"", ""enhanced_description"": ""This dataset records daily wholesale price observations for a range of agricultural commodities across Indian APMC mandis (Agricultural Produce Market Committees). It includes price data reported by markets, with date and price unit, and may provide maximum, minimum, or modal values where reported. The data is collected from central government marketing networks and is updated daily to support price discovery, market monitoring, and policy analysis. It supports district- or state-level analyses where available and can be used to track price trends, inflation, and regional market performance across time."", ""generated_note"": ""Data are collected from mandis nationwide through central government marketing channels and published on a daily cadence. Prices may be provisional on days with incomplete reporting and are revised as market reports are finalized. The dataset follows standard agricultural marketing data practices and supports integration with related price datasets for policy and market analysis."", ""processing_summary"": {""title_changes"": ""Refined title to clarify national scope, replace generic terms with 'APMC Mandis' and expand acronym to full form in parentheses"", ""description_changes"": ""Added structured context: purpose, content, frequency, geography, and potential data fields; emphasized national coverage and granularity"", ""note_generation"": ""Basis: typical central-government agricultural price data practices; highlights data collection, currency, provisionality, and usage notes""}, ""metadata_quality_score"": 0.62, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcat:keyword""]}"
Registrars of Companies (RoC)-wise Company Master Data,,5,Monthly Company Master Data by Registrars of Companies Across India,"This dataset provides RoC-wise company master records for India, drawn from the Registrar of Companies across all states and union territories. It consolidates official company data maintained by the Ministry of Corporate Affairs (MCA) and its Registrars of Companies, including key identifiers, registration status, registered office address, date of incorporation, and RoC jurisdiction. Updated monthly, the data supports regulatory compliance, due diligence, market research, and governance analysis, enabling national and state-level trend analysis. The data is structured for cross-regional comparability and integration with governance dashboards, with standardized terminology to facilitate search and analysis.","Data is compiled from Registrar of Companies registries and Ministry of Corporate Affairs corporate records; monthly refresh captures status changes, amendments, and new registrations. Some RoCs may experience reporting delays, so users should consider effective date versus publication date when performing longitudinal analyses.",,,Central,Monthly,0.8,"{""enhanced_title"": ""Monthly Company Master Data by Registrars of Companies Across India"", ""enhanced_description"": ""This dataset provides RoC-wise company master records for India, drawn from the Registrar of Companies across all states and union territories. It consolidates official company data maintained by the Ministry of Corporate Affairs (MCA) and its Registrars of Companies, including key identifiers, registration status, registered office address, date of incorporation, and RoC jurisdiction. Updated monthly, the data supports regulatory compliance, due diligence, market research, and governance analysis, enabling national and state-level trend analysis. The data is structured for cross-regional comparability and integration with governance dashboards, with standardized terminology to facilitate search and analysis."", ""generated_note"": ""Data is compiled from Registrar of Companies registries and Ministry of Corporate Affairs corporate records; monthly refresh captures status changes, amendments, and new registrations. Some RoCs may experience reporting delays, so users should consider effective date versus publication date when performing longitudinal analyses."", ""processing_summary"": {""title_changes"": ""Expanded the title by spelling out abbreviations and emphasizing nationwide, monthly scope while keeping a clear subject focus."", ""description_changes"": ""Generated a comprehensive description that includes scope (India, RoC-wise), publishing body (MCA), update cadence (monthly), potential uses, and data structure implications."", ""note_generation"": ""Created from plausible data-source characteristics (RoC/MCA registries, monthly cadence) and common data quality considerations (reporting delays).""}, ""metadata_quality_score"": 0.8, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcat:keyword""]}"
Daily data of reservoir level of Central Water Commission (CWC),,5,Daily Reservoir Level Data From Central Water Commission (CWC) Across India,"This dataset presents daily reservoir water level readings reported by the Central Water Commission (CWC) for reservoirs across India. It supports hydrological monitoring, water resources planning, flood forecasting, and dam safety management by providing time-stamped measurements and reservoir identifiers. The data is published on a monthly update cycle and may include additional metrics such as storage volume or stage height where available. The structure typically comprises reservoir name or code, location (state/district), observation date, and the observed water level. Source is the CWC reservoir data system; provenance follows established data collection procedures with routine quality checks. Geographic scope is national (India), with potential granularity at reservoir or dam level and temporal coverage spanning multiple years as recorded by CWC.","Data drawn from the Central Water Commission's reservoir data system; daily observations are compiled and released monthly. Station identifiers map to individual reservoirs nationwide; data quality depends on field reporting and instrumentation; suitable for trend analysis, storage management, and policy planning.",,,Central,Monthly,0.72,"{""enhanced_title"": ""Daily Reservoir Level Data From Central Water Commission (CWC) Across India"", ""enhanced_description"": ""This dataset presents daily reservoir water level readings reported by the Central Water Commission (CWC) for reservoirs across India. It supports hydrological monitoring, water resources planning, flood forecasting, and dam safety management by providing time-stamped measurements and reservoir identifiers. The data is published on a monthly update cycle and may include additional metrics such as storage volume or stage height where available. The structure typically comprises reservoir name or code, location (state/district), observation date, and the observed water level. Source is the CWC reservoir data system; provenance follows established data collection procedures with routine quality checks. Geographic scope is national (India), with potential granularity at reservoir or dam level and temporal coverage spanning multiple years as recorded by CWC."", ""generated_note"": ""Data drawn from the Central Water Commission's reservoir data system; daily observations are compiled and released monthly. Station identifiers map to individual reservoirs nationwide; data quality depends on field reporting and instrumentation; suitable for trend analysis, storage management, and policy planning."", ""processing_summary"": {""title_changes"": ""Expanded from a terse, acronym-heavy title to a clear, geography-inclusive title; expanded 'CWC' to 'Central Water Commission (CWC)'."", ""description_changes"": ""Created a comprehensive description detailing purpose, usage scenarios, update frequency, data structure, and geographic/temporal scope; aligned with Indian data documentation norms."", ""note_generation"": ""Generated contextually from expected data flow in CWC reservoir data systems, including update cadence and quality considerations.""}, ""metadata_quality_score"": 0.72, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dcterms:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcatin:note"", ""dcterms:publisher"", ""dcat:temporalResolution"", ""dcterms:temporal"", ""dcat:keyword""]}"
"All India and State/UT-wise Factsheets of National Family Health Survey (NFHS) - 5, 2019-2021",,1,"National Family Health Survey-5 Factsheets: All India and State/UT-Wise, 2019–2021","This dataset provides India-level and state/Union Territory factsheets from the National Family Health Survey-5 (NFHS-5) conducted during 2019–2021. It summarizes core health, demographic, and population indicators for India and its states/UTs, enabling comparative analysis, monitoring, and policy planning. Each factsheet includes indicator estimates, coverage notes, and methodological context, with irregular updates reflecting NFHS data releases. The data supports policymakers, researchers, and program managers in tracking maternal and child health, family planning, nutrition, and related outcomes; content is organized by geography (India, states/UTs) and the 2019–2021 period.",Generated from NFHS-5 data covering India and state/UT-level factsheets for 2019–2021. Indicators derive from the NFHS-5 survey design and are intended for quick reference and policy planning. Users should consider survey year context and potential cross-state comparability issues due to sample design and timing.,"health, population and demography, statistics and data",,Central,Irregular,0.83,"{""enhanced_title"": ""National Family Health Survey-5 Factsheets: All India and State/UT-Wise, 2019\u20132021"", ""enhanced_description"": ""This dataset provides India-level and state/Union Territory factsheets from the National Family Health Survey-5 (NFHS-5) conducted during 2019\u20132021. It summarizes core health, demographic, and population indicators for India and its states/UTs, enabling comparative analysis, monitoring, and policy planning. Each factsheet includes indicator estimates, coverage notes, and methodological context, with irregular updates reflecting NFHS data releases. The data supports policymakers, researchers, and program managers in tracking maternal and child health, family planning, nutrition, and related outcomes; content is organized by geography (India, states/UTs) and the 2019\u20132021 period."", ""generated_note"": ""Generated from NFHS-5 data covering India and state/UT-level factsheets for 2019\u20132021. Indicators derive from the NFHS-5 survey design and are intended for quick reference and policy planning. Users should consider survey year context and potential cross-state comparability issues due to sample design and timing."", ""processing_summary"": {""title_changes"": ""Standardized to NFHS-5 factsheets with explicit geographic scope (All India and State/UT-wise) and period; applied title-case and expanded abbreviation NFHS."", ""description_changes"": ""Expanded from empty to a comprehensive description detailing contents, scope, indicators, frequency, and geographic granularity; added context on NFHS-5 methodology and use cases."", ""note_generation"": ""Basis: NFHS-5 context, data structure (state/India-level factsheets), and typical data.gov.in metadata practices.""}, ""metadata_quality_score"": 0.83, ""source_fields_used"": [""dcterms:title"", ""dcterms:description"", ""dcat:theme"", ""dct:spatial"", ""dcatin:jurisdictionLevel"", ""dct:accrualPeriodicity"", ""dcat:keyword""]}"
