dcterms:title,dcterms:type,unmapped_catalog_title,dcatin:jurisdictionLevel,dcatin:applicableLegislation,dcterms:publisher,qualifiedAttribution1,qualifiedAttribution2,dcterms:modified,dcterms:created,dcat:theme,dcat:keyword,unmapped_field_resource_type,dct:accrualPeriodicity,dct:temporalResolution,dcterms:relation[from_api],unmappabled_is_api_available,unmappable_is_visualized,unmappable_api_request_count,dcatin:hvdCategory,unmappable_field_show_export,dcterms:creator,prov:qualifiedAttribution,unmappable_is_rated,unmappable_external_api_reference,dcatin:note,dcat:accessURL,dcterms:identifier,dcterms:landingPage,dcterms:source,unmappable_ogdp_download_count,unmappable_ogdp_view_count,dcterms:spatial,dcterms:temporal ,dcterms:rights,foaf:depiction,dcterms:hasPart,dcterms:isPartOf,dcterms:isReferencedBy,dcterms:isReplacedBy,dcterms:isVersionOf,dcterms:description,dcterms:alternative/dcterms:abstract,dcterms:language
Variety-wise Daily Market Prices Data of Commodity,Dataset,Current daily price of various commodities from various markets (Mandi),Central,NDSAP,Ministry of Agriculture and Farmers Welfare,Department of Agriculture and Farmers Welfare (DMI),,27/6/2025,21/5/2024,Agriculture;Agricultural Marketing,,5,Daily,Daily,1,1,,,1,TRUE,Directorate of Marketing and Inspection (DMI),Directorate of Marketing and Inspection (DMI),1,6622308,,data.gov.in/resource/variety-wise-daily-market-prices-data-commodity,data.gov.in/resource/variety-wise-daily-market-prices-data-commodity,data.gov.in/resource/variety-wise-daily-market-prices-data-commodity,field_reference_url,394032,167942,data.gov.in,,,,,,,,,,,
Kisan Call Centre (KCC) - Transcripts of farmers queries & answers,Dataset,District wise and month wise queries of farmers in Kisan Call Centre (KCC) ,Central,NDSAP,Department of Agriculture and Farmers Welfare,,,27/6/2025,12/7/2024,Agriculture,,5,Daily,Daily,1,1,,,1,TRUE,Department of Agriculture and Farmers Welfare,Department of Agriculture and Farmers Welfare,1,6622307,,data.gov.in/resource/kisan-call-centre-kcc-transcripts-farmers-queries-answers,data.gov.in/resource/kisan-call-centre-kcc-transcripts-farmers-queries-answers,data.gov.in/resource/kisan-call-centre-kcc-transcripts-farmers-queries-answers,field_reference_url,219561,241962,data.gov.in,,,,,,,,,,,
All India Pincode Directory till last month,Dataset,All India Pincode Directory (Through WebService),Central,NDSAP,:,Department of Posts,,27/6/2025,4/12/2020,Information and Communications;Post,Post,4,Monthly,Monthly,1,1,0,9,0,TRUE,Department of Posts,Department of Posts,1,6818292,Data will be updated on monthly basis.,data.gov.in/resource/all-india-pincode-directory-till-last-month,data.gov.in/resource/all-india-pincode-directory-till-last-month,data.gov.in/resource/all-india-pincode-directory-till-last-month,field_reference_url,105072,177619,data.gov.in,,,,,,,,,,,
Registrars of Companies (RoC)-wise Company Master Data,Dataset,Company Master Data,Central,NDSAP,Ministry of Corporate Affairs,,,27/6/2025,15/9/2015,Commerce;Companies,Commerce;Companies,5,Monthly,Monthly,1,1,1,,1,TRUE,Ministry of Corporate Affairs,Ministry of Corporate Affairs,1,603037492,Figures Authorized Capital and Paid up Capital are in INR; NA: Not Available The data upto 3rd November 2023.,data.gov.in/resource/registrars-companies-roc-wise-company-master-data,data.gov.in/resource/registrars-companies-roc-wise-company-master-data,data.gov.in/resource/registrars-companies-roc-wise-company-master-data,field_reference_url,39682,9035,data.gov.in,,,,,,,,,,,
Current Daily Price of Various Commodities from Various Markets (Mandi),Dataset,Current daily price of various commodities from various markets (Mandi),Central,NDSAP,Ministry of Agriculture and Farmers Welfare,Department of Agriculture and Farmers Welfare,Directorate of Marketing and Inspection (DMI),27/6/2025,23/5/2013,Agriculture;Agricultural Marketing,Agriculture;Agricultural Marketing,4,Daily,Daily,,1,1,2,1,TRUE,Directorate of Marketing and Inspection (DMI),Directorate of Marketing and Inspection (DMI),1,3670701,,data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi,data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi,data.gov.in/resource/current-daily-price-various-commodities-various-markets-mandi,field_reference_url,37549,59612,data.gov.in,,,,,,,,,,,
List of MSME Registered Units under UDYAM,Dataset, UDYAM Registration (MSME Registration),Central,NDSAP,"Ministry of Micro, Small and Medium Enterprises",,,27/6/2025,22/5/2024,Industries;Medium;Micro;Small Scale,,5,Daily,Daily,1,1,,,1,TRUE,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",1,6878785,,data.gov.in/resource/list-msme-registered-units-under-udyam,data.gov.in/resource/list-msme-registered-units-under-udyam,data.gov.in/resource/list-msme-registered-units-under-udyam,field_reference_url,22700,12701,data.gov.in,,,,,,,,,,,
Health indicator-wise monthly datasets at sub district level from HMIS,Dataset,Health indicator-wise monthly datasets at sub district level from HMIS ,Central,NDSAP,Ministry of Health and Family Welfare,Department of Health and Family Welfare,,12/2/2025,11/3/2020,Health and Family welfare;Family Welfare;Health,Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health;Health and Family welfare;Family Welfare;Health,5,Monthly,Monthly,1,1,0,,0,TRUE,Department of Health and Family Welfare,Department of Health and Family Welfare,1,6737060,NA: Not Available/Not Applicable; The data is as reported by health facilities of respective States/UTs of India.,data.gov.in/resource/health-indicator-wise-monthly-datasets-sub-district-level-hmis,data.gov.in/resource/health-indicator-wise-monthly-datasets-sub-district-level-hmis,data.gov.in/resource/health-indicator-wise-monthly-datasets-sub-district-level-hmis,field_reference_url,22486,52094,data.gov.in,,,,,,,,,,,
Real time Air Quality Index from various locations,Dataset,Real time Air Quality Index,Central,NDSAP,"Ministry of Environment, Forest and Climate Change",Central Pollution Control Board,,27/6/2025,25/7/2016,Environment and Forest;Industrial Air Pollution;Residential Air Pollution;Vehicular Air Pollution,Environment and Forest;Industrial Air Pollution;Residential Air Pollution;Vehicular Air Pollution,4,Hourly,Hourly,1,1,1,12,1,TRUE,Central Pollution Control Board,Central Pollution Control Board,1,3630781,The real-time data as collected from the field instruments is displayed live without human intervention from CPCB. It is likely that the live data may display some errors or abnormal values. Any abnormal value may be due to any episode or instrumental error at any particular time.,data.gov.in/resource/real-time-air-quality-index-various-locations,data.gov.in/resource/real-time-air-quality-index-various-locations,data.gov.in/resource/real-time-air-quality-index-various-locations,field_reference_url,22293,102119,data.gov.in,,,,,,,,,,,
Wholesale Price Index (Base Year 2011-12) till last month,Dataset,Wholesale Price Index,Central,NDSAP,Ministry of Commerce and Industry,Department for Promotion of industry and Internal Trade,Office of the Economic Adviser,27/6/2025,18/8/2017,Economy;Prices;Finance;Economy,Economy;Prices;Finance;Economy,4,Monthly,Monthly,1,1,1,12,0,TRUE,Office of the Economic Adviser,Office of the Economic Adviser,1,3630501,Data for last two months are provisional; NA: Not Applicable/Available,data.gov.in/resource/wholesale-price-index-base-year-2011-12-till-last-month,data.gov.in/resource/wholesale-price-index-base-year-2011-12-till-last-month,data.gov.in/resource/wholesale-price-index-base-year-2011-12-till-last-month,field_reference_url,8915,5321,data.gov.in,,,,,,,,,,,
Daily data of reservoir level of Central Water Commission (CWC),Dataset,Reservoir,Central,NDSAP,"Department of Water Resources, River Development & Ganga Rejuvenation",Ministry of Jal Shakti,National Water Informatics Centre,15/6/2025,17/5/2022,Water Resources,,5,Monthly,Monthly,1,1,,,1,TRUE,National Water Informatics Centre,National Water Informatics Centre,0,7210814,,data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc,data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc,data.gov.in/resource/daily-data-reservoir-level-central-water-commission-cwc,field_reference_url,8311,3393,data.gov.in,,,,,,,,,,,
