dcterms:title,dcterms:description,dcterms:modified,dcterms:created,dcterms:issued,dcterms:spatial,dcatin:jurisdictionLevel,dcterms:publisher,qualifiedAttribution1,qualifiedAttribution2,dcterms:relation,dcat:keyword,dcatin:hvdCategory,unmappableis_api_available,node_alias,unmappable_ogdp_view_count,dcterms:contributor,dcterms:hasPart,dcterms:isPartOf,dcterms:isReferencedBy,dcterms:isReplacedBy,dcterms:isVersionOf,dcatin: applicableLegislation:,dcterms:rights,dcterms:language,foaf: homePage,dcat:landingPage,dcterms:identifier,dcat:accessURL,dcterms:subject
All India Pincode Boundary Geo JSON,This will provide the Pincode boundary of Post offices in India in Geo.Json format.,5/9/2025,5/9/2025,5/9/2025,All India,Central,Ministry of Communications,Department of Posts,,0,PINCODE;Geojson ;Geo Json File,1,0,/catalog/all-india-pincode-boundary-geo-json,5,,,,,,,,,,data.gov.in/catalog/all-india-pincode-boundary-geo-json,data.gov.in/catalog/all-india-pincode-boundary-geo-json,data.gov.in/catalog/all-india-pincode-boundary-geo-json,data.gov.in/catalog/all-india-pincode-boundary-geo-json,group_name
Crime in India - 2022,"Catalog contains data of Crime in India - 2022. Get information on Cognizable crimes registered, IPC crimes, SLL cases, Violent crimes, Murder and culpable homicide not amounting to murder, Victims of murder, Victims of culpable homicide not amounting to murder, Murdered by use of fire arms, Unidentified dead bodies recovered and inquest conducted, Victims of kidnapping & abduction, Disposal of crime cases, Charge sheet of crimes, Complaint received and case registered under IPC and SLL, Conviction rate , Detail of courts and period of trials, Crimes committed against women, Victims of rape cases, Offenders relation and nearness to rape victims, Crimes committed against children, Crime committed against scheduled castes and schedule tribes, Property stolen & recovered and percentage recovery, Vehicles stolen, Recovered and co-ordinated, Dacoity cases, Robbery cases, Burglary cases, Theft cases, Cultural property (including antiques) stolen and recovered, Cognizable crime registered & their disposal, Juvenile delinquency under different crime heads, Juveniles apprehended, Disposal of juveniles arrested, Classification of juveniles arrested, Recidivism amongst persons arrested, Disposal of persons arrested, Deaths in police custody /lockup, Escapes from police custody, Reported custodial rape cases and their disposal, Persons arrested under custodial ,Rape and their disposal by police and courts, Event wise persons killed or injured under police firing, Police personnel killed or injured on duty, Police personnel died (natural deaths) while in service, Police personnel committed suicide while in service, Rank wise police personnel killed or injured on duty, Complaints/cases registered against personnel, Incidence of human right violation by police, Sanctioned and strength of civil police including district armed police, Information on police housing, Sanctioned and actual strength of home guards and auxiliary force, Equipments and transport support, Police stations by volume of crime, Police stations by strength of personnel, Organization setup, Representation of SCs/STs and muslims in police etc.",4/12/2024,4/10/2024,4/12/2024,All India,Central,Ministry of Home Affairs,Department of States,National Crime Records Bureau (NCRB),0,Indian Penal Code;Crime;Crimes under Special and Local Laws;crimes against women;Crimes against Children ;Cognizable Crimes Registered;Crimes against Senior Citizen;Crimes by Place of Occurrence;Cognizable Crime Under IPC;Disposal of Juveniles Apprehended (Under IPC And SLL Crimes);Juveniles Apprehended Under IPC Crimes;Juveniles Apprehended Under SLL Crimes;Crimes against Scheduled Castes;Crimes against Scheduled Tribes,0,0,/catalog/crime-india-2022,4251,,,,,,,,,,data.gov.in/catalog/crime-india-2022,data.gov.in/catalog/crime-india-2022,data.gov.in/catalog/crime-india-2022,data.gov.in/catalog/crime-india-2022,group_name
Indian Sign Language Dictionary,"The Indian Sign Language (ISL) Dictionary has been developed with the objective of helping people to learn ISL. It is an important resource for special educators, teachers, parents, employers, etc. The dictionary will facilitate communication between hearing people and people with hearing disabilities and help to remove communication barriers, thus increasing accessibility in various spheres of life.",2/18/2025,2/6/2024,2/7/2024,All India,Central,Ministry of Social Justice and Empowerment,Department of Empowerment of Persons with Disabilities,,0,Sign Language;Indian Sign Language;Sign Language Dictionary;Hearing Impaired;Deaf Education,0,0,/catalog/indian-sign-language-dictionary,3268,,,,,,,,,,data.gov.in/catalog/indian-sign-language-dictionary,data.gov.in/catalog/indian-sign-language-dictionary,data.gov.in/catalog/indian-sign-language-dictionary,data.gov.in/catalog/indian-sign-language-dictionary,group_name
Demographic Data of Unorganised Workers registered on eShram portal,The catalog contains data for self-registration for unorganised workers since inception to till last previous day..,6/19/2025,6/7/2023,12/21/2023,All India,Central,Ministry of Labour and Employment,,,1,eShram;eShram Registration;MoLE;Labour and Employment;Unorganised Workers,1,0,/catalog/demographic-data-unorganised-workers-registered-eshram-portal,21424,,,,,,,,,,data.gov.in/catalog/demographic-data-unorganised-workers-registered-eshram-portal,data.gov.in/catalog/demographic-data-unorganised-workers-registered-eshram-portal,data.gov.in/catalog/demographic-data-unorganised-workers-registered-eshram-portal,data.gov.in/catalog/demographic-data-unorganised-workers-registered-eshram-portal,group_name
Answers Data of Rajya Sabha Questions for Session 260,Get questions' Answers Data of Session 260 of Rajya Sabha provided by various ministries/departments.,3/11/2024,12/18/2023,12/19/2023,All India,Central,Rajya Sabha,,,0,Rajya Sabha,0,0,/catalog/answers-data-rajya-sabha-questions-session-260,2811,,,,,,,,,,data.gov.in/catalog/answers-data-rajya-sabha-questions-session-260,data.gov.in/catalog/answers-data-rajya-sabha-questions-session-260,data.gov.in/catalog/answers-data-rajya-sabha-questions-session-260,data.gov.in/catalog/answers-data-rajya-sabha-questions-session-260,group_name
Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),An Act to provide for the enhancement of livelihood security of the households in rural areas of the country by providing at least one hundred days of guaranteed wage employment in every financial year to every household whose adult members volunteer to do unskilled manual work and for matters connected therewith or incidental thereto.,6/19/2025,9/11/2023,9/13/2023,All India,Central,Ministry of Rural Development,Department of Rural Development (DRD),,1,MGNREGA;FTO;Jobcard;Asset;Works assests,1,0,/catalog/mahatma-gandhi-national-rural-employment-guarantee-act-mgnrega,10284,,,,,,,,,,data.gov.in/catalog/mahatma-gandhi-national-rural-employment-guarantee-act-mgnrega,data.gov.in/catalog/mahatma-gandhi-national-rural-employment-guarantee-act-mgnrega,data.gov.in/catalog/mahatma-gandhi-national-rural-employment-guarantee-act-mgnrega,data.gov.in/catalog/mahatma-gandhi-national-rural-employment-guarantee-act-mgnrega,group_name
Unique Disability ID (UDID) ,"The Objective of UDID Project is to create a National Database for all Persons with Disabilities (PwDs) along with their socio-economic details as well as issuing all Divyangjan with a UDID card through a single online portal across all States/UTs in India. This project envisages online availability of data of PwDs across the country for policy-making and targeted intervention. Data is available as District wise, Disability Wise, Age Group wise and Gender wise. Data will update quarterly.  ",6/11/2024,9/6/2023,9/11/2023,All India,Central,Ministry of Social Justice and Empowerment,Department of Empowerment of Persons with Disabilities,,0,UDID;UDID Data,1,0,/catalog/unique-disability-id-udid,9003,,,,,,,,,,data.gov.in/catalog/unique-disability-id-udid,data.gov.in/catalog/unique-disability-id-udid,data.gov.in/catalog/unique-disability-id-udid,data.gov.in/catalog/unique-disability-id-udid,group_name
Performance Grading Index (PGI),District Performance Grading Index (PGI),2/18/2025,8/31/2023,8/31/2023,All India,Central,Ministry of Education,Department of School Education and Literacy,,0,District Performance Grading Index;PGI,0,0,/catalog/district-performance-grading-index-pgi,2449,,,,,,,,,,data.gov.in/catalog/district-performance-grading-index-pgi,data.gov.in/catalog/district-performance-grading-index-pgi,data.gov.in/catalog/district-performance-grading-index-pgi,data.gov.in/catalog/district-performance-grading-index-pgi,group_name
Youth Hostel Scheme,"The construction of Youth Hostels is a joint venture of the Central and StateGovernments. As such, the State Government makes available to the Central Government afully developed plot of land, free of cost, measuring 1.5 to 2 acres, for construction of aYouth Hostel, keeping in view the various considerations that decide its suitability. In caseof State Capitals, big Cities and hilly areas a fully developed plot of land measuring 0.75 to1 acre may be considered as acceptable for the construction of Youth Hostel building. TheState Government gives the land on lease to the Central Government for a period of 99years on a nominal rent of Rs. 1 per month. The Government of India constructs the YouthHostel and the completed building is leased to the State Government for a period of 99years on a nominal rent of Rs. 1 per month. Lease deeds, both for land and the Hostel areexecuted by the parties. The land and the building are to be used as a Youth Hostel onlyand are not to be put to any other use.",6/28/2023,5/30/2023,6/28/2023,All India,Central,Ministry of Youth Affairs and Sports,Department of Youth Affairs,,0,Youth Affairs;Youth Hostel;Hostels,0,0,/catalog/youth-hostel-scheme,503,,,,,,,,,,data.gov.in/catalog/youth-hostel-scheme,data.gov.in/catalog/youth-hostel-scheme,data.gov.in/catalog/youth-hostel-scheme,data.gov.in/catalog/youth-hostel-scheme,group_name
Elephant Reserve and Population Status,"Project Elephant was launched during 1992 as a Centrally Sponsored Scheme with the objectives to protect and conserve the elephant and its habitats, address the Human Elephant Conflict and to ensure the welfare of elephants in captivity.",6/15/2023,6/13/2023,6/15/2023,All India,Central,"Ministry of Environment, Forest and Climate Change",,,0,Elephant population;Elephant Reserve;Project Elephant,0,0,/catalog/elephant-reserve-and-population-status,1453,,,,,,,,,,data.gov.in/catalog/elephant-reserve-and-population-status,data.gov.in/catalog/elephant-reserve-and-population-status,data.gov.in/catalog/elephant-reserve-and-population-status,data.gov.in/catalog/elephant-reserve-and-population-status,group_name
