title,generated_keywords,generated_subject,generated_theme,justification,confidence_score,metadata_gaps
"Variety-wise Daily Market Prices Data of Commodity","agriculture, agricultural marketing, variety-wise, daily, market, prices, commodity, current, price, daily data","Agriculture, Agricultural Marketing, Market Information Systems","Agriculture, Agricultural Marketing","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: sector_resource, note","0.8","sector_resource, note"
"Kisan Call Centre (KCC) - Transcripts of farmers queries & answers","agriculture, kisan, call, centre, transcripts, farmers, queries, answers, district, wise","Agriculture","Agriculture","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: sector_resource, note","0.8","sector_resource, note"
"All India Pincode Directory till last month","information and communications, post, india, pincode, directory, till, last, month, monthly data","Information and Communications, Post","Information and Communications, Post","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Registrars of Companies (RoC)-wise Company Master Data","commerce, companies, registrars, -wise, company, master, monthly data","Commerce, Companies","Commerce, Companies","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Current Daily Price of Various Commodities from Various Markets (Mandi)","agriculture, agricultural marketing, current, daily, price, commodities, markets, mandi, daily data","Agriculture, Agricultural Marketing, Market Information Systems","Agriculture, Agricultural Marketing","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: note","0.9","note"
"List of MSME Registered Units under UDYAM","industries, medium, micro, small scale, list, msme, registered, units, under, udyam","Industries, Medium, Micro, Small Scale","Industries, Medium","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: sector_resource, note","0.8","sector_resource, note"
"Health indicator-wise monthly datasets at sub district level from HMIS","health and family welfare, family welfare, health, indicator-wise, monthly, datasets, district, level, hmis, monthly data","Health and Family welfare, Family Welfare, Health, Public Health","Health and Family welfare, Family Welfare","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Real time Air Quality Index from various locations","environment and forest, industrial air pollution, residential air pollution, vehicular air pollution, real, time, quality, index, locations","Environment and Forest, Industrial Air Pollution, Residential Air Pollution, Vehicular Air Pollution","Environment and Forest, Industrial Air Pollution","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Wholesale Price Index (Base Year 2011-12) till last month","economy, prices, finance, wholesale, price, index, base, year, 2011-12, till","Economy, Prices, Finance, Market Information Systems","Economy, Prices","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Daily data of reservoir level of Central Water Commission (CWC)","water resources, daily, reservoir, level, central, water, commission, monthly data","Water Resources","Water Resources","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: sector_resource, note","0.8","sector_resource, note"
"All India and State/UT-wise Factsheets of National Family Health Survey (NFHS) - 5, 2019-2021","health and family welfare, family welfare, india, state, ut-wise, factsheets, national, family, health, survey","Health and Family welfare, Family Welfare, Public Health","Health and Family welfare, Family Welfare","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"FDI Equity Inflows from the year 2000 till last quarter","commerce, equity, inflows, year, 2000, till, last, quarter, foreign, direct","Commerce","Commerce","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"India Districts Factsheets of National Family Health Survey (NFHS) - 5, 2019-2021","all, health and family welfare, family welfare, india, districts, factsheets, national, family, health, survey","All, Health and Family welfare, Public Health","All, Health and Family welfare","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Month-wise All India Crowdsourced Mobile Data Speed Measurement","information and communications, telecom, month-wise, india, crowdsourced, mobile, speed, measurement, myspeed, monthly data","Information and Communications, Telecom","Information and Communications, Telecom","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Sub Divisional Monthly Rainfall from 1901 to 2017","science and technology, atmospheric science, earth sciences, divisional, monthly, rainfall, 1901, 2017, india","Science and Technology, Atmospheric Science, Earth Sciences","Science and Technology, Atmospheric Science","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Voice Call Quality Customer Experience till last month","information and communications, telecom, voice, call, quality, customer, experience, till, last, month","Information and Communications, Telecom","Information and Communications, Telecom","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: note","0.9","note"
"Wholesale Price Index (Base Year 2011-12) till last financial year","economy, prices, finance, wholesale, price, index, base, year, 2011-12, till","Economy, Prices, Finance, Market Information Systems","Economy, Prices","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: sector_resource","0.9","sector_resource"
"Indian Railways Time Table for trains available for reservation as on 01.11.2017","transport, railways, indian, time, table, trains, available, reservation, 2017, train","Transport, Railways","Transport, Railways","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: note","0.9","note"
"Daily data of Soil Moisture","water resources, daily, soil, moisture, monthly data","Water Resources","Water Resources","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: sector_resource, note","0.8","sector_resource, note"
"Seasonal and Annual Mean Temperature Series for the period 1901-2021","science and technology, earth sciences, seasonal, annual, mean, temperature, series, period, 1901-2021, india","Science and Technology, Earth Sciences","Science and Technology, Earth Sciences","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: note","0.9","note"
"District-wise, season-wise crop production statistics from 1997","agriculture, agricultural produces, district-wise, season-wise, crop, production, statistics, 1997","Agriculture, Agricultural Produces","Agriculture, Agricultural Produces","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: note","0.9","note"
"Global Youth Tobacco Survey (GYTS-4), India and States, 2019","health, health and family welfare, family welfare, global, youth, tobacco, survey, gyts-4, india, states","Health, Health and Family welfare","Health, Health and Family welfare","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Local Government Directory (LGD) - Villages with PIN Codes","panchayati raj, local, government, directory, villages, codes, monthly data","Panchayati Raj","Panchayati Raj","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: sector_resource","0.9","sector_resource"
"Local Government Directory (LGD) - Local Bodies with PIN Codes","panchayati raj, local, government, directory, bodies, codes, monthly data","Panchayati Raj","Panchayati Raj","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: sector_resource","0.9","sector_resource"
"Industry, State and Year wise Startups Recognized by DPIIT till last week","all, industry, state, year, wise, startups, recognized, dpiit, till, last","All","All","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: sector_resource","0.9","sector_resource"
"Crime Head-wise Police Disposal of IPC Crime Cases (Crime Head-wise) during 2019","home affairs and enforcement, police, crime, head-wise, disposal, cases, during, 2019, india","Home Affairs and Enforcement, Police","Home Affairs and Enforcement, Police","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"District Wise Total MSME Registered Enterprises under UDYAM Registration till last date","industries, medium, micro, small scale, district, wise, total, msme, registered, enterprises","Industries, Medium, Micro, Small Scale","Industries, Medium","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: note","0.9","note"
"Shapefile of Rivers","ground water, surface water, shapefile, rivers, boundaries, water, resources","Ground Water, Surface Water","Ground Water, Surface Water","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Rainfall in all India and its departure from normal during Monsoon session (June-Sept) from 1901 to 2019","science and technology, atmospheric science, earth sciences, rainfall, india, departure, normal, during, monsoon, session","Science and Technology, Atmospheric Science, Earth Sciences","Science and Technology, Atmospheric Science","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Enrolment by Age and Class (UDISE plus) during 2012-13","education, enrolment, class, udise, plus, during, 2012-13","Education","Education","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: sector_resource, note","0.8","sector_resource, note"
"District wise Services MSME Registered Enterprises under UDYAM Registration till last date ","industries, medium, micro, small scale, district, wise, services, msme, registered, enterprises","Industries, Medium, Micro, Small Scale","Industries, Medium","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: note","0.9","note"
"Seasonal and Annual Min/Max Temp Series - India from 1901 to 2017","science and technology, atmospheric science, earth sciences, seasonal, annual, temp, series, india, 1901, 2017","Science and Technology, Atmospheric Science, Earth Sciences","Science and Technology, Atmospheric Science","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Daily data of Evapotranspiration of NRSC","ground water, daily, evapotranspiration, nrsc, evapo-transpiration, monthly data","Ground Water","Ground Water","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: sector_resource, note","0.8","sector_resource, note"
"District wise, Disability wise, Age group wise , Gender wise Unique Disability ID (UDID) data as on 11.06.2024","social development, district, wise, disability, group, gender, unique, udid, 2024","Social Development","Social Development","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"All India Consumer Price Index (Rural/Urban) upto May 2023","economy, prices, finance, statistics, india, consumer, price, index, rural, urban","Economy, Prices, Finance, Statistics, Market Information Systems","Economy, Prices","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: sector_resource, note","0.8","sector_resource, note"
"All India area weighted monthly, seasonal and annual rainfall (in mm) from 1901-2015","science and technology, atmospheric science, earth sciences, india, area, weighted, monthly, seasonal, annual, rainfall","Science and Technology, Atmospheric Science, Earth Sciences","Science and Technology, Atmospheric Science","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Crime Head-wise Police Disposal of IPC Crime Cases during 2021","police, army, crime, head-wise, disposal, cases, during, 2021, india","Police","Police","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Foreign Tourist Arrivals (FTAs), Arrivals of Non-Resident Indians (NRIs) and International Tourist Arrival (ITAs) from 1981 to 2017","travel and tourism, foreign, tourist, arrivals, ftas, non-resident, indians, nris, international, arrival","Travel and Tourism","Travel and Tourism","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: sector_resource","0.9","sector_resource"
"Enrolment by Age and Class (UDISE plus) during 2019-20","education, enrolment, class, udise, plus, during, 2019-20","Education","Education","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: note","0.9","note"
"Year-wise retail inflation rate based on Consumer Price Index-Combined (CPI-C) from 2017-18 to 2022-23","all, finance, year-wise, retail, inflation, rate, based, consumer, price, index-combined","All, Market Information Systems","All","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"GSVA by Economic Activity at Current Prices for Tamil Nadu from 2011-12 to 2016-17 (as on 31.03.2017)","finance, economy, statistics, gsva, economic, activity, current, prices, tamil, nadu","Finance, Economy, Statistics, Market Information Systems","Finance, Economy","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: sector_resource","0.9","sector_resource"
"District-wise Demographic Data of Unorganised Workers registered on eShram as on Previous Day","unorganized sector workers, labour and employment, district-wise, demographic, unorganised, workers, registered, eshram, previous, daily data","Unorganized Sector Workers","Unorganized Sector Workers","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Monthly Crude Oil Processed by Refineries","non renewable, monthly, crude, processed, refineries, monthly data","Non Renewable","Non Renewable","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Statistics of Road Accidents in India From 2013 to 2016","transport, road transport, statistics, road, accidents, india, 2013, 2016, state, wise","Transport, Road Transport","Transport, Road Transport","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"CBSE Result Statistics Class XII - 2023","education, cbse, result, statistics, class, 2023","Education","Education","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: sector_resource","0.9","sector_resource"
"District-wise availability of health centres in India as on 31st March, 2017","health and family welfare, family welfare, health, district-wise, availability, centres, india, 31st, march, 2017","Health and Family welfare, Family Welfare, Health, Public Health","Health and Family welfare, Family Welfare","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Area weighted monthly, seasonal and annual rainfall ( in mm) for 36 meteorological subdivisions from 1901-2015","science and technology, atmospheric science, earth sciences, area, weighted, monthly, seasonal, annual, rainfall, meteorological","Science and Technology, Atmospheric Science, Earth Sciences","Science and Technology, Atmospheric Science","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"Monthly mean maximum & minimum temperature and total rainfall based upon 1901-2000 data","science and technology, earth sciences, monthly, mean, maximum, minimum, temperature, total, rainfall, based","Science and Technology, Earth Sciences","Science and Technology, Earth Sciences","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: note","0.9","note"
"Monthly Consumption of Petroleum Products","power and energy, monthly, consumption, petroleum, products, daily data","Power and Energy","Power and Energy","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: sector_resource","0.9","sector_resource"
"State-wise Population, Decadal Population Growth Rate and Population Density - 2011","health and family welfare, family welfare, health, state-wise, population, decadal, growth, rate, density, 2011","Health and Family welfare, Family Welfare, Health","Health and Family welfare, Family Welfare","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains.","1",""
"District Wise Total  MSME Registered Manufacturing Enterprises till last date","medium, micro, small scale, district, wise, total, msme, registered, manufacturing, enterprises","Medium, Micro, Small Scale","Medium, Micro","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: note","0.9","note"
"District-wise MGNREGA Data at a Glance ","development, district-wise, mgnrega, glance, mahatma, gandhi, national, daily data","Development","Development","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: note","0.9","note"
"District Level Manufacturing MSME Registered Enterprises under UDYAM Registration till last date","industries, medium, micro, small scale, district, level, manufacturing, msme, registered, enterprises","Industries, Medium, Micro, Small Scale","Industries, Medium","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: note","0.9","note"
"Indian Sign Language Dictionary till January 2024","disabled, indian, sign, language, dictionary, till, january, 2024","Disabled","Disabled","Keywords from sector, title, catalog. Subjects from taxonomy. Themes from domains. Missing: note","0.9","note"
