title,resource_category,catalog_title,govt_type,ministry_department,state_department,published_date,changed,created,sector,sector_resource,field_resource_type,datafile,datafile_url,file_format,file_size,frequency,granularity,field_from_api,is_api_available,is_visualized,api_request_count,field_high_value_dataset,field_show_export,cdos_state_ministry,is_rated,external_api_reference,note,node_alias,ogdp_download_count,ogdp_view_count,domain
"Area weighted monthly, seasonal and annual rainfall ( in mm) for 36 meteorological subdivisions from 1901-2015",Dataset,Rainfall in India,Central,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune",,30/3/2017,10/12/2021,2/1/2017,Science and Technology;Atmospheric Science;Earth Sciences,Science and Technology;Atmospheric Science;Earth Sciences,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/rainfall_area-wt_sd_1901-2015.csv,,text/csv,528115,Annual,Annual,,1,1,,0,TRUE,"India Meteorological Department (IMD), Pune",1,,Monthly rainfall series contains monthly rainfall data for the period 1901- 2012 from delayed mode computation using all available stations and 2013-2015 from real time data series; NA: Not Available,/resource/area-weighted-monthly-seasonal-and-annual-rainfall-mm-36-meteorological-subdivisions-1901,1380,1782,data.gov.in
Monthly mean maximum & minimum temperature and total rainfall based upon 1901-2000 data,Dataset,Climatology data of Important Cities,Central,"Ministry of Earth Sciences;India Meteorological Department (IMD);India Meteorological Department (IMD), Pune",,30/9/2016,10/12/2021,26/10/2015,Science and Technology;Earth Sciences,Science and Technology;Earth Sciences,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/climate_change_upto_2000_1.csv,,text/csv,62833,Annual,Annual,,1,1,1,0,TRUE,"India Meteorological Department (IMD), Pune",1,,,/resource/monthly-mean-maximum-minimum-temperature-and-total-rainfall-based-upon-1901-2000-data-3,1320,5345,data.gov.in
Monthly Consumption of Petroleum Products,Dataset,Consumption of Petroleum Products,Central,Ministry of Petroleum and Natural Gas;Petroleum Planning & Analysis Cell (PPAC),,19/5/2023,27/6/2025,19/5/2023,Power and Energy,,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/productconsumption.csv,,text/csv,23660,Daily,Monthly,1,1,,,1,TRUE,Petroleum Planning & Analysis Cell (PPAC),0,7492382,"i) Part of the data may be provisional. For details kindly refer to PPAC website ( https://ppac.gov.in )ii) The source of information includes Oil Companies, DGCIS & online SEZ data.",/resource/monthly-consumption-petroleum-products,1264,1010,data.gov.in
"State-wise Population, Decadal Population Growth Rate and Population Density - 2011",Dataset,Rural Health Statistics - 2015,Central,Ministry of Health and Family Welfare;Department of Health and Family Welfare,,13/7/2016,10/12/2021,12/7/2016,Health and Family welfare;Family Welfare;Health,Health and Family welfare;Family Welfare;Health,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/dataurl12072016/RHS_2015_ch-1_table_2a.csv,http://data.gov.in/sites/default/files/dataurl12072016/RHS_2015_ch-1_table_2a.csv,text/csv,1322,Annual,Annual,,1,0,,0,TRUE,Department of Health and Family Welfare,1,,"For Manipur: Updated population of Manipur as per the order (9/25/2013-CD(Cen.) dtd 07-01-2014) of RGI; For Andhra Pradesh and Telangana: Data collected from the States; NA: Not Available; Source: Population Census of India, Office of the Registrar General & Census Commissioner, India",/resource/state-wise-population-decadal-population-growth-rate-and-population-density-2011,1261,747,data.gov.in
District Wise Total  MSME Registered Manufacturing Enterprises till last date,Dataset,Udyog Aadhaar Memorandum  ( MSME Registration ),Central,"Ministry of Micro, Small and Medium Enterprises",,24/7/2019,7/8/2019,23/7/2019,Medium;Micro;Small Scale,Medium;Micro;Small Scale,1,https://data.gov.in/files/ogdpv2dms/s3fs-public/datafile/uam_msme_total_manufacturing_unit.csv,,text/csv,55955,One-time,Daily,1,1,1,,0,TRUE,"Ministry of Micro, Small and Medium Enterprises",1,6667162,,/resource/district-wise-total-msme-registered-manufacturing-enterprises-till-last-date,1250,2092,data.gov.in
District-wise MGNREGA Data at a Glance ,Dataset,Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Central,Ministry of Rural Development;Department of Rural Development (DRD),,13/9/2023,27/6/2025,11/9/2023,Development,Development,5,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/NREGA.csv,https://api.data.gov.in/resource/ee03643a-ee4c-48c2-ac30-9f2ff26ab722?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all,text/csv,153388,Daily,Daily,1,1,,1,1,TRUE,Department of Rural Development (DRD),1,603001422,,/resource/district-wise-mgnrega-data-glance,1235,1748,data.gov.in
District Level Manufacturing MSME Registered Enterprises under UDYAM Registration till last date,Dataset, UDYAM Registration (MSME Registration),Central,"Ministry of Micro, Small and Medium Enterprises",,1/11/2021,27/6/2025,26/10/2021,Industries;Medium;Micro;Small Scale,Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale;Medium;Micro;Small Scale,4,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/district_level_manufacturing_msme.csv?VersionId=105172500356481,https://api.data.gov.in/resource/ae789703-638a-4942-b79e-17868103dec8?api-key=579b464db66ec23bdd000001cdc3b564546246a772a26393094f5645&offset=0&limit=all&format=csv,text/csv,37346,Daily,Daily,1,1,1,11,1,TRUE,"Ministry of Micro, Small and Medium Enterprises",0,7159068,,/resource/district-level-manufacturing-msme-registered-enterprises-under-udyam-registration-till,1181,835,data.gov.in
Indian Sign Language Dictionary till January 2024,Dataset,Indian Sign Language Dictionary,Central,Ministry of Social Justice and Empowerment;Department of Empowerment of Persons with Disabilities,,7/2/2024,18/2/2025,6/2/2024,Disabled,Disabled,1,https://data.gov.in/files/ogdpv2dms/s3fs-public/ISL_Dictionary_words.csv,,application/vnd.ms-excel,2661,Annual,Annual,0,0,,73,0,TRUE,Department of Empowerment of Persons with Disabilities,0,,,/resource/indian-sign-language-dictionary-till-january-2024,1163,680,data.gov.in
"Percentage of households having electricity, Improved source of drinking water, Having access to improved toilet facility, Use clean fuel for cooking - DLHS IV",Dataset,District Level Household and Facility Survey (DLHS-4),Central,Ministry of Health and Family Welfare;Department of Health and Family Welfare,,29/12/2014,9/12/2021,24/12/2014,Health and Family welfare;Family Welfare;Health,Health and Family welfare;Family Welfare;Health,1,https://data.gov.in/files/ogdpv2dms/s3fs-public/Percentage_of_households_DLHS4.csv,https://data.gov.in/sites/default/files/Percentage_of_households_DLHS4.csv,text/csv,12256,Others,Annual,,1,0,,0,TRUE,Department of Health and Family Welfare,1,,NA :Percentage not shown for below 20 cases; The data of 21 states have been provided,/resource/percentage-households-having-electricity-improved-source-drinking-water-having-access,1144,498,data.gov.in
"District Rainfall Normal (in mm) Monthly, Seasonal And Annual : Data Period 1951-2000",Dataset,"District Rainfall Normal (in mm) Monthly, Seasonal And Annual : Data Period 1951-2000",Central,Ministry of Earth Sciences;India Meteorological Department (IMD),,31/5/2013,17/4/2014,31/5/2013,Science and Technology;Atmospheric Science,Science and Technology;Atmospheric Science,1,https://data.gov.in/files/ogd20/ogdpv2dms/s3fs-public/datafile/District_Rainfall_Normal_0.xls,,application/vnd.ms-excel,167936,One-time,Monthly,,1,1,,0,TRUE,India Meteorological Department (IMD),1,,,/resource/district-rainfall-normal-mm-monthly-seasonal-and-annual-data-period-1951-2000,1141,6634,data.gov.in
